step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
62,0.95000363,0.17533741,9.9890859e+11,3.2638524,449
88,0.96649856,0.1863963,9.8304482e+11,2.5426461,430
126,0.94781041,0.18286516,9.9155897e+11,2.3476191,477
179,0.95475207,0.13035543,9.8585099e+11,2.2733198,479
254,0.87278119,0.12622562,9.9904474e+11,2.2402078,462
362,0.92742694,0.082316586,9.7556742e+11,2.2939215,486
514,0.94186101,0.079660146,9.7474904e+11,2.3941843,505
732,0.97814577,0.37094998,9.697348e+11,2.4767681,549
1041,0.97385657,0.21615668,9.9547501e+11,1.0541773,342
1482,0.99449805,0.62065692,9.9727517e+11,1.4176636,349
2108,0.99983624,0.3508348,9.4912231e+11,1.6524911,322
3000,0.99999368,0.20444134,9.8861713e+11,1.6051005,299
3500,0.99998799,0.1883825,9.743903e+11,1.56545,334
