step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
62,0.99922423,0.312058,9.9135851e+11,2.6425788,806
88,0.99890045,0.17258749,9.675347e+11,3.1235478,830
126,0.99982565,0.21600748,9.9984007e+11,3.0479814,832
179,0.99990879,0.23337055,9.8808266e+11,3.0147379,870
254,0.99986951,0.22069742,9.8749425e+11,3.1507814,843
362,0.99983752,0.12253445,9.8330486e+11,3.1944289,823
514,0.99976239,0.15507933,9.8172136e+11,3.2709461,821
732,0.99976079,0.17679687,9.9604703e+11,3.2945522,816
1041,0.99970215,0.1534612,9.9045252e+11,3.1499826,813
1482,0.99890175,0.20333967,9.6318099e+11,3.16952,806
2108,0.9974401,0.37092885,9.8172139e+11,3.0017596,791
3000,0.99861258,0.58335215,9.8318131e+11,3.2014102,791
3500,0.99157154,0.15808775,9.9923152e+11,3.1593798,1070
