step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
62,0.99612381,0.61953787,9.8874671e+11,5.2841957,649
88,0.99128994,0.60981986,9.7789894e+11,4.8347555,652
126,0.99158272,0.62759709,9.8512398e+11,4.8915472,672
179,0.99527979,0.65706891,9.8782618e+11,3.9511819,649
254,0.98482298,0.6745618,9.8191039e+11,3.3121369,669
362,0.99009406,0.58516375,9.8692462e+11,1.759584,696
514,0.99712092,0.34535504,9.9537299e+11,1.9299387,959
732,0.99983735,0.17533065,7.7062357e+11,1.6033101,1020
1041,0.99998097,0.055038146,3.2805786e+11,1.487872,1023
1482,0.99997807,0.16934273,6.8071808e+11,1.3687501,1023
2108,0.99997374,0.10007804,9.9859812e+11,1.2902858,1012
3000,0.99919349,0.069798531,9.9658325e+11,1.2695922,1002
3500,0.99981884,0.10001339,9.8892885e+11,1.2713868,1584
