r,J_learned,J_learned_std,count
2.9654996,458.88496,5.5262324,9728
4.3340938,459.33833,5.5601036,9728
5.1393373,459.4659,5.4879071,9728
5.788606,459.3864,5.5461671,9728
6.3567371,459.52797,5.5156971,9728
6.8820808,459.54794,5.5545986,9728
7.3737559,459.51485,5.5744434,9728
7.8462412,459.53332,5.5222543,9728
8.3009212,459.44706,5.5344541,9728
8.750783,459.53027,5.5398605,9728
9.1810721,459.69033,5.567318,9728
9.6123838,459.58402,5.5222055,9728
10.044684,459.64355,5.4962962,9728
10.467619,459.66278,5.5010933,9728
10.892791,459.58963,5.4523054,9728
11.320375,459.63751,5.548015,9728
11.742101,459.63691,5.4882476,9728
12.159725,459.61134,5.5823835,9728
12.584823,459.56313,5.5486335,9728
13.006817,459.66868,5.5442706,9728
13.432538,459.66166,5.512188,9728
13.867255,459.67595,5.5037185,9728
14.305276,459.66557,5.480453,9728
14.746577,459.73242,5.5789227,9728
15.194884,459.81147,5.4548905,9728
15.649738,459.81215,5.4798864,9728
16.110504,459.76973,5.513337,9728
16.595069,459.94227,5.456263,9728
17.084425,459.91685,5.4671915,9728
17.598596,459.98375,5.6184901,9728
18.138748,459.97,5.508977,9728
18.704072,460.02597,5.537278,9728
19.305613,460.11094,5.4887869,9728
19.95683,460.11618,5.5117934,9728
20.65786,460.14524,5.5530547,9728
21.436157,460.20386,5.363198,9728
22.298884,460.42379,5.4312381,9728
23.318146,460.69615,5.3960132,9728
24.631299,461.01524,5.330464,9728
27.086385,462.124,5.2981924,9728
