step,E_raw,E_clip,stderr,var
156,30.094838,30.094838,0.015133186,0.057098474
393,30.096143,30.096143,0.013294203,0.036556828
992,30.040113,30.040113,0.016488033,0.041172522
2500,30.043726,30.043726,0.012146916,0.035504909
3500,30.033725,30.033725,0.004094949,0.034661042
