bfarch,seed,omega,error_pct,error_pct_raw,var_EL,deff,dx_mag,alive,bf_rank,T_full,Vc_full,dE_backflow,dT_backflow,dVc_backflow,err_pct_nobf,dE_msg,dT_msg,dVc_msg,dE_bf_over_w,dE_msg_over_w
conv,0,0.01,0.6093073764125457,0.5919401845076421,0.00010579943802591282,1.0996517174154499,0.13791775080067412,True,1.0,0.03528423375688422,0.41451300815705866,0.00016325774833536588,0.0008814602264257607,0.0011482691709417403,0.6860937247961526,nan,nan,nan,0.016325774833536588,nan
conv,0,0.1,0.24444220596491867,0.24783114623508606,0.003683794667721053,9.616909801177984,0.13884943613438394,True,10.077021502284538,0.32262565620761685,1.9394633645581063,0.017636669867694188,0.052711422031360644,0.06941377094237033,0.6426968185226152,nan,nan,nan,0.17636669867694188,nan
conv,0,1.0,0.07543652051062516,0.0744988490409285,0.10167211813179508,6.593052697969297,0.06651088223111715,True,10.476044403531558,3.275922352585377,8.711530617264295,0.07356985675808048,0.611812320437433,-0.04589196295661857,0.3524631837423332,nan,nan,nan,0.07356985675808048,nan
conv,1,0.01,0.5783845766691805,0.5657072815160783,0.00010791033746146364,1.126971161561133,0.15357181073561932,True,1.0,0.03611565089197816,0.4160557677768669,0.0010793008680111127,0.0001751637317469329,-0.0029804350339646124,0.7156603266934188,nan,nan,nan,0.10793008680111127,nan
conv,1,0.1,0.20818401376355108,0.20228114393780397,0.003702613104193376,10.68017474867401,0.14767986102788466,True,10.175175293548724,0.32051886671722063,1.9330508909374404,0.024099104855381803,0.05395441085128355,0.064191042887348,0.9401948823453521,nan,nan,nan,0.24099104855381803,nan
conv,1,1.0,0.07110940110012048,0.07450913766123213,0.11002940759840041,6.142878871989218,0.07717368452165697,True,10.557629028607483,3.527734011063628,8.751288256492867,0.09362909694946708,0.6662364913298005,-0.13594381990045434,0.490017670318039,nan,nan,nan,0.09362909694946708,nan
ctnn,0,0.01,-0.05558188205919998,-0.04662080802516286,1.714831513385598e-05,10.304948224264027,0.09042445900686384,True,9.93540901763917,0.03387217147377956,0.41588247162115993,0.01161173477718247,-0.0010239030421443363,0.016689507457115615,1.6268528996393872,0.011563455188157712,-0.003964198104418656,0.008245554010487821,1.161173477718247,1.1563455188157712
ctnn,0,0.1,-0.03198191317221294,-0.03105124725428096,0.0005497534324553678,7.697822969486378,0.14157752448228852,True,7.4886060649860235,0.31432994746267073,1.9132485645809205,0.02991152401080477,0.06152346790564467,0.14168965184731785,0.7981493194781867,0.034777781608600566,0.009256675615572751,0.010512768584333143,0.2991152401080477,0.34777781608600566
ctnn,0,1.0,-0.028310021937936233,-0.03515449369347514,0.023140247408889408,4.199214134834123,0.12049863840542525,True,9.114004584947752,3.774952813189035,8.615174155069031,0.051028524234318695,-0.2769761070134882,-0.05465918458065211,0.2755079865007829,0.055152395075516836,-0.34063345810659573,-0.07391586699361952,0.051028524234318695,0.055152395075516836
ctnn,1,0.01,-0.0074320558694372565,-0.0002261388595710923,1.8419147175440954e-05,9.236634469568513,0.08428949785370703,True,9.847009100565433,0.0325662198153434,0.4155895028741695,0.010971853318998637,0.0003321173015906481,0.01563685496584799,1.6030362403410943,0.012717402221507745,-0.0018077623765231227,0.008172984057699617,1.0971853318998637,1.2717402221507745
ctnn,1,0.1,-0.04683237433187538,-0.05684358225234788,0.0005881996172950157,7.917556527794563,0.137466458727323,True,7.797313364007459,0.3145254591527143,1.9323569078596505,0.0399255318524494,0.04944891296734,0.12105424958309818,1.110060892338742,0.02719978766469522,0.019180265381869954,0.02680269551299075,0.39925531852449403,0.2719978766469522
ctnn,1,1.0,-0.007861991131040911,-0.004082635208854653,0.024406313489494395,4.207799169211163,0.12032293283645407,True,9.089574646243253,3.524875939137151,8.621912584465719,0.07332277166795365,0.20485277787299738,-0.10163835737193416,0.3338279455551246,0.09910368041122908,0.032830372681812214,0.049766237680564984,0.07332277166795365,0.09910368041122908
