step,E_raw,E_clip,stderr,var
31,20.213504,20.214162,0.017568878,0.31821635
78,20.201677,20.201896,0.014191175,0.19235962
198,20.18874,20.191401,0.010439705,0.11946872
500,20.182973,20.184404,0.0079923865,0.10226531
820,20.180074,20.179817,0.0038385252,0.1022227
