step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
62,0.99974927,0.43026579,5.4919908e+10,6.581975,1023
88,0.99996324,0.42561557,2.4686205e+10,6.5352422,1023
126,1,0.4158258,2.2599965e+09,8.7618065,1023
179,1,0.53613987,3.0408779e+08,11.069972,1023
254,1,0.54451792,3.4447004e+08,5.785393,1023
362,1,0.73440541,16699982,15.089649,1023
514,1,0.29095235,8728996.3,8.4559826,1023
732,1,0.17668843,1713336.3,9.3754378,1023
1041,1,0.10387084,1758268.4,7.0780322,1023
1482,1,0.105857,1057889.5,6.9012336,1023
2108,1,0.11171035,637379.68,6.5843298,1023
3000,1,0.10819406,970462,7.4316635,1023
3500,1,0.08487621,5103909.9,7.56056,2047
