step,E_raw,E_clip,stderr,var
62,4.9398897,4.9398897,0.015676274,0.46894736
88,4.9011144,4.9011144,0.017017464,0.50103486
126,4.8425874,4.8355827,0.024982653,0.46086786
179,4.704495,4.7027126,0.020251963,0.38954108
254,4.5305346,4.5279104,0.014808374,0.33899982
362,4.140483,4.1381491,0.014150141,0.25080794
514,3.6266685,3.6200401,0.0056824957,0.033737815
732,3.5683744,3.5679062,0.0027096028,0.0069691309
1041,3.5629307,3.5628348,0.0017373099,0.003816594
1482,3.561867,3.5606303,0.0018398474,0.0036272129
2108,3.5591753,3.5590482,0.0014178614,0.0027603444
3000,3.5512705,3.5510889,0.00088516937,0.00089139228
3500,3.5539909,3.5537845,0.00029226291,0.00080598637
