step,E_raw,E_clip,stderr,var
62,0.50108833,0.50108833,0.0050883624,0.022573127
88,0.48818801,0.48818801,0.0045253072,0.019571539
126,0.47597934,0.47597934,0.0033803482,0.012453501
179,0.45321792,0.45321792,0.0021707439,0.0051416487
254,0.44343463,0.44258384,0.00079667196,0.00071649678
362,0.44114552,0.44069261,0.00024820671,4.1480125e-05
514,0.44070523,0.44039887,0.00011171543,1.192275e-05
732,0.4408343,0.44079084,3.2547464e-05,1.476593e-06
1041,0.44066692,0.44079405,2.1638569e-05,3.6143487e-07
1482,0.44082269,0.44080566,1.2983088e-05,1.6666538e-07
2108,0.44080158,0.44081898,1.1161841e-05,1.2951301e-07
3000,0.440832,0.44082056,6.6560466e-06,5.2728435e-08
3500,0.44078549,0.44081076,2.1292183e-06,3.8182333e-08
