step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
62,0.99977594,0.77711536,9.8511093e+11,3.5780181,760
88,0.99988721,0.79034937,9.7249661e+11,2.9963804,739
126,0.99990676,0.73290534,9.9000403e+11,3.0071136,781
179,0.9998191,0.6756565,9.9262444e+11,2.5026703,867
254,0.99995884,0.30588915,8.9308699e+11,2.9265989,1016
362,0.99994266,0.12847824,9.7857517e+11,2.5045468,982
514,0.99996751,0.19636463,9.8178989e+11,2.5584757,954
732,0.9991308,0.1060984,9.9423817e+11,2.4701488,917
1041,0.99515573,0.054923709,9.8921977e+11,2.301268,870
1482,0.99713469,0.081307158,9.7378009e+11,2.1507251,846
2108,0.99671007,0.12905131,9.8643702e+11,2.1747931,857
3000,0.99355541,0.12098663,9.8184417e+11,2.1119682,855
3500,0.96851168,0.037302313,9.9025083e+11,2.1387802,1152
