step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
31,0.97969432,0.12819879,1.8247281e+11,1.2983217,1023
78,0.90204453,0.19417429,6.3100025e+11,1.3129914,1023
198,0.97488842,0.09152253,7.5441402e+10,1.3427983,1023
500,1,0.064214656,2.4011893e+09,1.3939105,1023
820,0.99417486,0.05789914,4.2363442e+10,1.543755,2047
