r,top0,top1,top2,bot0,bot1,bot2
10.817523,0.024104545,-0.0022401948,-0.0038177229,-0.00023550695,-0.00012456999,0.00079195071
13.280245,0.013513781,0.0039591305,0.0011306261,0.0012867343,0.00050396287,-0.0026109003
14.38945,0.012973334,0.0020451779,-0.0056547439,-0.0027001349,0.00054767106,0.00053636643
15.110679,0.016224075,0.0064420939,0.0011146826,-0.00037617597,0.00054917514,0.0015255279
15.747522,0.014067254,-0.0045103978,-0.0019148524,0.0017553509,-0.0012250985,-0.00064715048
16.328926,0.019386048,-0.00054688901,-0.00038873705,0.0010684969,7.1540623e-05,-6.1442023e-05
16.900486,0.010709188,1.7155344e-05,0.0017368264,0.0016194917,0.0018373542,-0.00072482171
17.367845,0.0092510319,0.0043008229,0.0005954204,-0.0013038386,0.0022691274,0.002693765
17.732966,0.014108576,-0.0013594351,0.0041349075,-0.0025140334,9.5214068e-05,0.0022385338
18.125434,0.0061517534,0.0018740754,-0.0059683203,0.00017125821,-0.0023936611,0.00091921285
18.482764,0.0073866749,0.006035956,0.0036981079,0.00045360775,-0.0013266914,-0.00077397269
18.869278,0.011126972,-0.0029921402,0.0023758135,0.0029804267,-0.0033589943,0.003168105
19.264167,0.0010906112,0.0064430079,0.0021106067,0.0036548651,0.00066005334,-0.0017561096
19.616662,0.0075570181,-0.0061624826,-0.0013302735,-0.00082593136,0.0027747603,-0.0019272445
19.920064,-0.00097641675,-0.0027690391,-0.0067945079,-0.0022746269,-0.0018609499,-0.0046826895
20.24656,-0.00056249536,-0.0022324159,-0.0021808155,0.0012686191,-0.0019090826,-0.00058654376
20.55123,-0.0014053575,-0.0034714561,-0.00094787309,-0.0055296874,-0.0025236039,-0.003253109
20.898161,0.0012387654,-0.0070694615,-0.0013594238,-0.0035277478,0.0011917813,0.0023954727
21.322353,-0.00095861962,-0.0012829732,-0.00012935678,-0.0021857645,0.0050272923,0.00039403435
21.727916,-0.005745233,-0.0016086512,-0.0048487297,0.00081077075,0.0014128507,-0.0019462599
22.066405,-0.0053335658,-0.0018003711,-0.0015206168,5.4820849e-05,-0.00053278728,-0.0042945762
22.448163,-0.0088013254,0.0082508727,0.0042649376,0.0032113633,0.00057837465,0.0028736893
22.807663,-0.0084244292,-0.0022035714,0.0050425633,0.0049307359,0.00044764185,0.0038933067
23.191301,-0.0077231062,0.0028340744,0.0039143872,-0.0037457436,0.01107687,-0.002353805
23.686964,-0.010954242,-0.0037920822,-0.0029948313,0.0083368274,-0.0062097399,-0.0023438354
24.196602,-0.017825769,-0.0048766015,-0.0019324744,-0.0034134208,0.0019428493,-0.00029936118
24.768081,-0.016481313,0.0024258515,0.0021518173,0.0021918579,-0.0033832302,-0.010273564
25.336191,-0.022088992,0.0052831234,-0.00031104649,-0.0013120964,0.0014043619,0.024900548
26.177117,-0.024741922,0.00014068621,0.0018018949,-0.012613791,-0.01055242,-0.00033968465
28.541799,-0.036619236,-0.0010956161,0.0079269793,0.0083795592,0.0029291749,-0.0072420892
