r,J_total,u_cusp,f_net
10.817523,66.464015,12.345262,54.118753
13.280245,67.966202,11.683798,56.282404
14.38945,67.979985,11.440538,56.539447
15.110679,67.795551,12.010838,55.784713
15.747522,68.000296,11.694658,56.305638
16.328926,67.451598,12.170663,55.280935
16.900486,68.487871,11.438533,57.049338
17.367845,68.722326,11.409756,57.31257
17.732966,68.174168,11.811428,56.36274
18.125434,69.091919,11.046921,58.044998
18.482764,69.061796,11.330442,57.731354
18.869278,68.543955,11.463999,57.079955
19.264167,69.851648,10.75576,59.095888
19.616662,68.923684,11.145271,57.778412
19.920064,70.086704,10.403429,59.683275
20.24656,69.968939,10.549406,59.419533
20.55123,70.005244,10.39307,59.612174
20.898161,69.753838,10.716008,59.03783
21.322353,70.055251,10.506885,59.548366
21.727916,70.545318,10.110149,60.435169
22.066405,70.613579,10.174182,60.439397
22.448163,70.96481,9.9066415,61.058169
22.807663,71.034437,9.9331314,61.101305
23.191301,70.835684,9.9206099,60.915074
23.686964,71.177895,9.5869032,61.590992
24.196602,72.191554,9.1500128,63.041541
24.768081,72.048083,9.3088828,62.7392
25.336191,72.657931,8.8504128,63.807519
26.177117,73.084357,8.6376217,64.446735
28.541799,74.480685,7.7937664,66.686918
