r,delta_logpsi
0.28438497,0.48119726
0.48596688,0.49592166
0.5865144,0.48533588
0.67288527,0.48964841
0.72018531,0.48400463
0.78092193,0.4826506
0.83587156,0.49520676
0.88540438,0.5009635
0.93314086,0.49383946
0.98837848,0.50784281
1.0332763,0.51069479
1.0730516,0.51011891
1.1086352,0.50851284
1.1430013,0.49900135
1.183706,0.51486882
1.2271163,0.50998901
1.2750573,0.51156732
1.315108,0.51339191
1.3522346,0.51124899
1.3850848,0.54076374
1.4272198,0.52317065
1.4647234,0.54814591
1.5139131,0.53627757
1.5661572,0.53844114
1.6106318,0.53260465
1.6598612,0.54954799
1.7228756,0.55249474
1.8202326,0.56931238
1.9333094,0.58338105
2.1998678,0.6033382
