N,omega,ell,corr_f_vs_dx,corr_f_vs_deltaf,gradient_cosine_mean,gradient_cosine_std,frac_gradient_aligned,delta_f_over_f_std,delta_f_relative,frac_deltaf_positive,particle_ablation_mean,particle_ablation_std,frac_toward_nn,mean_toward_nn,frac_nn_direction,mean_abs_delta_angle,max_delta_angle,frac_rad_inner,frac_rad_outer,frac_rad_gradient
2,0.001,31.622776601683796,-0.06322500109672546,-0.023334115743637085,0.36360292293523916,0.67698830198841,0.74609375,0.005600465390303202,0.0010251370823855092,0.7490234375,0.004193941786750021,8.708375938849128e-08,0.240966796875,-0.045825712044418376,0.5428406409619008,0.000974019290699726,0.03642161101912844,0.5808106386646108,0.4565575517163846,-0.12425308694822618
2,0.01,10.0,-0.12178480625152588,-0.14740802347660065,7.247274431678556e-08,1.1589257480686281e-06,0.015625,1.274502011212958e-16,4.203003369019894e-17,0.001953125,4.9873299934333204e-17,3.2526065174565133e-18,0.0025634765625,8.289155129449769e-18,0.05040593357480224,1.1655173354219173e-17,3.730349362740526e-14,0.0999061609004444,0.00125390650418978,-0.09865225439625461
2,0.1,3.162277660168379,-0.6015927195549011,-0.3818541467189789,0.42277045448573175,0.5187086339133141,0.765625,1.1298284137322145e-07,1.7624822447031468e-08,0.79931640625,3.208622987183746e-08,7.2194010752174576e-12,0.201904296875,-8.54337477332898e-08,0.5214934293889328,4.595328195332489e-08,8.832473320730116e-06,0.4866768994330573,0.5118057697804539,0.02512887034739658
2,0.5,1.414213562373095,-0.17410026490688324,-0.13223403692245483,0.5566957047965192,0.5895604913642833,0.828125,1.7687517723964593e-07,5.371011714528748e-08,0.8359375,3.063099387043335e-08,5.097238537016876e-11,0.1611328125,-7.357458846077852e-08,0.6223031315233201,6.247455475828301e-08,2.9437744855087544e-06,0.5307743622117286,0.6098913924421338,0.07911703023040517
2,1.0,1.0,0.9583044052124023,-0.4166219234466553,-0.7802455211535607,0.03477384237081189,0.0,0.05951644431546641,0.01813516281202813,0.0,0.0077203131535678576,6.692600903046488e-06,0.999755859375,0.022331705531919748,0.551855509120404,0.024624802256130854,2.4247292945064416,0.5072034104974282,0.5230952846776896,0.01589187418026139
6,0.001,31.622776601683796,-0.33858954906463623,0.32313379645347595,0.13780358196153056,0.46233309407311357,0.625,0.02645852810342537,0.0016540418246727881,0.59912109375,0.04704943473643456,0.000907700250399346,0.4348958432674408,-0.05768847230715405,0.4910390370393361,0.0038319739234460035,0.252697800708797,0.5824992649740477,0.5407626836984197,-0.04173658127562796
6,0.01,10.0,-0.22499778866767883,-0.07593593746423721,0.18100884514433482,0.2246606981372944,0.765625,0.04536467448890417,0.0011784458178699525,0.7685546875,0.04168934630832679,0.0014990373721825837,0.2796224057674408,-0.14508040406402722,0.5313305827953586,0.013006487131307417,1.7087215223333185,0.43265184125815664,0.4262434683446737,-0.0064083729134829515
6,0.1,3.162277660168379,-0.35529887676239014,-0.756242036819458,0.48583422997369097,0.1671591354286969,0.9921875,0.24608539032234109,0.01041306459615466,0.99365234375,0.0825539186215658,0.0010169188196208273,0.1599528044462204,-0.2186314855072437,0.666716438626804,0.048971903138844655,2.7283203727434424,0.4349098151927027,0.38710134782841726,-0.047808467364285456
6,0.5,1.414213562373095,-0.586361825466156,-0.8291371464729309,0.6221289890852064,0.16959643571865504,1.0,0.33018984653811484,0.01725139527804819,0.9970703125,0.06221039194137915,0.0019289849867247342,0.1854654997587204,-0.08527614497876441,0.6256579991756862,0.05582690846451816,3.1054459902595086,0.47661277052856316,0.4540544792086874,-0.022558291319875745
6,1.0,1.0,-0.7364248037338257,-0.8885916471481323,0.7684158851435337,0.1995012083596999,0.99609375,0.41487358345932734,0.04335104982837606,0.98974609375,0.04885596606005122,0.0009308877111778018,0.1783040463924408,-0.05657306072170587,0.6214250346308431,0.04725658202313608,2.9955568633328804,0.524565148364554,0.5532933773964676,0.02872822903191352
