r,delta_sr,delta_plain,residual
1.3530941,0.13471007,0.024143824,0.13471007
1.9411738,-0.039771714,-0.0033508525,-0.039771714
2.226964,-0.066482505,-0.046545943,-0.066482505
2.4934435,-0.05292861,-0.018388715,-0.05292861
2.6522817,-0.012105536,-0.090106205,-0.012105536
2.7980986,-0.00097918223,-0.0036400276,-0.00097918223
2.9451081,-0.0047551262,-0.028545699,-0.0047551262
3.0503338,0.010946175,-0.02295044,0.010946175
3.1333114,-0.0087025489,-0.0088565297,-0.0087025489
3.2285869,0.049551576,-0.032461833,0.049551576
3.3108128,0.0009849343,-0.013519658,0.0009849343
3.4134973,-0.066401813,-0.088889268,-0.066401813
3.5099703,0.018184075,-0.049742681,0.018184075
3.5929123,-0.0068717802,-0.063044474,-0.0068717802
3.6979919,0.006424223,0.046984025,0.0064242231
3.7935897,0.0087613462,0.027050088,0.0087613462
3.872934,-0.033860726,-0.087107213,-0.033860726
3.9504189,0.0064122568,0.034040041,0.0064122568
4.0442559,-0.033980251,0.027898841,-0.033980251
4.13501,-0.0021783819,0.0016843219,-0.0021783819
4.2441382,0.033288552,0.02326228,0.033288552
4.3744669,0.0070636867,0.016933788,0.0070636867
4.4906865,-0.0030394777,-0.0035271112,-0.0030394777
4.6135364,0.053551724,0.034402844,0.053551724
4.7387405,0.019946705,0.02716662,0.019946705
4.8648348,0.031655468,0.043174242,0.031655468
5.0345252,-0.020435557,0.021498591,-0.020435557
5.2317645,-0.032975526,0.018439813,-0.032975526
5.5203603,0.010266135,0.07997492,0.010266135
6.0473205,-0.010926913,0.12922501,-0.010926913
