r,delta_logpsi
1.3530941,0.82485499
1.9411738,0.82891438
2.226964,0.83252633
2.4934435,0.82419896
2.6522817,0.79466542
2.7980986,0.80976619
2.9451081,0.81909977
3.0503338,0.82843981
3.1333114,0.81936625
3.2285869,0.82998726
3.3108128,0.82359365
3.4134973,0.85315869
3.5099703,0.85216071
3.5929123,0.82945303
3.6979919,0.89682136
3.7935897,0.84337774
3.872934,0.85501469
3.9504189,0.84561642
4.0442559,0.86210138
4.13501,0.8737209
4.2441382,0.88798654
4.3744669,0.87267083
4.4906865,0.87718675
4.6135364,0.90258434
4.7387405,0.91033307
4.8648348,0.92540955
5.0345252,0.95147869
5.2317645,0.9604107
5.5203603,0.97461747
6.0473205,1.0203644
