step,E_raw,E_clip,stderr,var
62,1.7027891,1.7027891,0.0071586827,0.049289873
88,1.6965218,1.6965218,0.0050522321,0.045671839
126,1.6868201,1.6868201,0.0080972373,0.046535588
179,1.6798522,1.6798522,0.0060063472,0.046534222
254,1.6661599,1.6661599,0.0080612171,0.044863969
362,1.6270237,1.6270237,0.0053209137,0.0454524
514,1.5098988,1.5098988,0.0067051301,0.041379001
732,0.81711559,0.81681535,0.0028593092,0.0081922269
1041,0.70933599,0.70926465,0.0011560416,0.0014722759
1482,0.69708675,0.69689687,0.00069603194,0.00041554256
2108,0.69370869,0.69363161,0.00037669571,0.00010751849
3000,0.69296037,0.69300954,0.00029778015,8.089419e-05
3500,0.69259079,0.69262756,8.303491e-05,6.5449182e-05
