step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
62,0.99024295,0.22302261,9.6071807e+11,5.0668778,1019
88,0.98911445,0.28028767,3.443093e+11,5.9622829,1023
126,0.99895447,0.23595181,7.5843532e+10,5.7458951,1023
179,0.99909138,0.24210191,2.998089e+10,6.0200093,1023
254,1,0.25003232,5.6221964e+09,7.9717124,1023
362,1,0.45017796,2.3213228e+09,9.1452119,1023
514,1,0.76241824,97592449,15.980676,1023
732,0.99982672,0.17042469,3.3556762e+10,4.5131287,1023
1041,1,0.18054307,14332096,11.802391,1023
1482,1,0.20997493,1337964.1,13.252857,1023
2108,1,0.14723467,839959,9.1628045,1023
3000,1,0.16119395,576929.53,6.2335992,1023
3500,1,0.14111781,5226898.7,6.7058848,2047
