step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
187,1,0.88245268,1.651277e+08,1.4158436,511
472,1,0.33924484,57547.348,8.2594112,511
1189,1,0.31651152,29924.914,9.3228605,511
3000,1,0.24371246,27947.213,7.4787728,511
4000,1,0.12126186,106988.17,9.2775281,1023
