r,J_learned,J_learned_std,count
2.8070976,176.13706,3.4544615,6759
4.0281268,176.38948,3.3960176,6758
4.7134538,176.55874,3.448427,6759
5.257337,176.6543,3.4616923,6758
5.7380878,176.67835,3.4476077,6758
6.1668628,176.7725,3.4710067,6759
6.5687548,176.79421,3.4748887,6758
6.9468639,176.87193,3.4869718,6758
7.3096354,176.83289,3.4468196,6759
7.6671059,176.83913,3.4466182,6758
8.0140179,176.83753,3.472784,6759
8.3545919,176.87454,3.4802705,6758
8.6930824,176.90016,3.490783,6758
9.029134,176.86159,3.4556113,6759
9.3594903,176.8198,3.4149041,6758
9.6911309,176.93943,3.4289628,6758
10.016846,176.95557,3.4089943,6759
10.345419,176.90464,3.4508921,6758
10.677716,176.89129,3.4797565,6759
11.021465,176.93292,3.4364482,6758
11.369656,176.96363,3.4581606,6758
11.719631,176.97608,3.4639405,6759
12.07211,177.05707,3.4568153,6758
12.433943,176.97877,3.4641614,6759
12.79987,177.04092,3.469641,6758
13.181658,177.13269,3.3805443,6758
13.570061,177.12301,3.4499082,6759
13.971618,177.12568,3.4002954,6758
14.377772,177.19796,3.4210469,6758
14.807929,177.17647,3.3794741,6759
15.243519,177.22685,3.412872,6758
15.704045,177.20333,3.3778602,6758
16.187665,177.17271,3.4203537,6759
16.703982,177.36548,3.4272195,6758
17.265681,177.50194,3.4047846,6759
17.883698,177.57046,3.296154,6758
18.564864,177.74295,3.2977377,6758
19.388945,177.9223,3.3011807,6759
20.465663,178.34864,3.1936496,6758
22.577496,179.25074,3.1854292,6759
