N,omega,arch,seed,trained_ok,E_mean,error_pct,var_EL,r2_leading,leading_operator,top_corr
6,1.0,CTNN,0,True,20.159094650767106,-0.0011178414395694447,0.010737198764169627,0.9906484766169003,pair_linear,0.9773138970605839
6,1.0,DeepSet,0,True,20.159127382703968,-0.0009554751650013417,0.022505894861076164,0.9961438929010751,hole_sig1.0,0.982488390213894
6,0.5,CTNN,0,True,11.780985456333845,-0.03270764529816372,0.005564922447259799,0.987997218722653,pair_linear,0.9818744885026938
6,0.5,DeepSet,0,True,11.782966837142874,-0.015894682126585395,0.009017773227211305,0.9950610156073376,pair_linear,0.9758740570282443
6,0.28,CTNN,0,True,7.598728456330652,nan,0.004199921178107242,0.9889901720008556,pair_linear,0.9824343298194156
6,0.28,DeepSet,0,True,7.599854549105932,nan,0.005373383913635026,0.983302425552744,pair_linear,0.9739139795926501
6,0.1,CTNN,0,True,3.5531045548540594,-0.020975706513802515,0.0005958332192816168,0.9767649962430377,pair_linear,0.9783434145666463
6,0.1,DeepSet,0,True,3.555511600828725,0.04675495107348108,0.0011624642261600226,0.9707057738142963,pair_linear,0.975002177327706
6,0.05,CTNN,0,True,2.1531279936562844,nan,0.00028331265037569793,0.9649347356635342,pair_linear,0.9684952605973174
6,0.05,DeepSet,0,True,2.15584639766506,nan,0.0005370712686528381,0.8932687854775856,pair_linear,0.9341350253717937
6,0.03,CTNN,0,True,1.4956963391047908,nan,0.00013218037604972982,0.9553791482149072,pair_linear,0.9635606954150198
6,0.03,DeepSet,0,True,1.4967614103367701,nan,0.00023633267726311157,0.8850531073143858,pair_linear,0.9289436170396521
6,0.01,CTNN,0,True,0.6899456476624993,-0.0600197487543666,1.860476949959685e-05,0.9467279342544401,pair_linear,0.9643763943411114
6,0.01,DeepSet,0,True,0.6909665052857927,0.08785348018320265,3.264253293790565e-05,0.013242303410299638,quartic_r4,0.08266404384984877
6,0.01,CTNN,1,True,0.6899644429443094,-0.05729721532108025,1.7489763815808777e-05,0.9169681261860619,pair_linear,0.9405168008771866
6,0.01,DeepSet,1,True,0.6905371442329962,0.025659689581695906,3.293362111049409e-05,0.02137053566992697,pair_linear,0.13976245560505118
6,0.01,CTNN,2,True,0.6901440154249229,-0.03128578930950511,1.9757399039908705e-05,0.9248370281420263,pair_linear,0.9517538167083285
6,0.01,DeepSet,2,True,0.6906592670336927,0.04334941678149991,3.472076398804019e-05,0.008557767646453662,monopole_r2,0.05649518897713258
12,1.0,DeepSet,0,False,69.05455361967849,5.105705500719908,18.194374474565056,0.876243577064072,monopole_r2,0.9333935580808226
12,1.0,CTNN,0,True,65.69389780975025,-0.009440153439267204,0.12576280800571615,0.9996899944205764,pair_linear,0.9948036277231869
12,1.0,CTNN,1,True,65.70015028219116,7.653289896649031e-05,0.1510911155084161,0.9996775303692126,pair_linear,0.9939590716330505
12,0.5,CTNN,0,True,39.162363970183314,0.0070582186317445636,0.03366818917366301,0.9996614576491305,pair_linear,0.9950233165830287
12,0.5,CTNN,1,True,39.15066561565587,-0.022815310534657792,0.037474295630225155,0.9995457970003637,pair_linear,0.9939607457743022
12,0.1,CTNN,0,True,12.269346010940374,-0.0037000526465433034,0.003039209738242486,0.9992275377676493,pair_linear,0.9952713633127523
12,0.1,CTNN,1,True,12.271977345393898,0.017745565485158866,0.003320696423212763,0.9991550674291764,pair_linear,0.9947293206038772
12,0.01,CTNN,0,True,2.4734969334994408,-0.005379401954181515,0.00014154827251458142,0.9998978513706125,pair_linear,0.9988383799521295
12,0.01,CTNN,1,True,2.4735369950003605,-0.0037598589780803893,0.0001288370760714813,0.9997293366822436,pair_linear,0.9982232974601406
