step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
31,0.99766379,0.062260749,1.9545189e+10,1.0846846,383
41,1,0.37819305,9.3957475e+09,1.2869563,383
54,0.99150347,0.33648443,2.1402857e+10,1.0505884,383
71,0.99542488,0.063183595,1.9909254e+10,1.0747241,383
94,0.98235788,0.19509221,3.5098944e+10,1.0615329,383
124,0.99441986,0.081837029,1.7632524e+10,1.1180517,383
164,0.98445278,0.10308052,2.4641464e+10,1.0986746,383
217,1,0.12753823,4.6022092e+09,1.1569447,383
286,1,0.096699177,4.2537429e+09,1.1325918,383
378,1,0.09766727,1.2055348e+09,1.1571906,383
499,1,0.024567677,3.5573053e+08,1.142809,383
658,1,0.035602931,5.2055246e+08,1.151482,383
869,1,0.13370503,1.833271e+08,1.1461525,383
1147,1,0.19992442,1.1815622e+08,1.1393433,383
1515,1,0.091641032,94211102,1.1774444,383
2000,1,0.036835758,39620607,1.1622138,383
3200,1,0.096763806,69358762,1.4603661,767
