step,E_raw,E_clip,stderr,var
31,20.214457,20.214457,0.031201364,0.2490444
41,20.247628,20.247628,0.02345067,0.21104925
54,20.164169,20.165313,0.033136928,0.31189535
71,20.185282,20.186485,0.023697742,0.18141413
94,20.224459,20.224459,0.019534267,0.13064733
124,20.12454,20.187251,0.018987604,0.14706801
164,20.165942,20.17582,0.018160302,0.1113734
217,20.194711,20.190132,0.014962266,0.10933625
286,20.213302,20.208584,0.012585989,0.095019742
378,20.165843,20.166982,0.014630764,0.086009255
499,20.15153,20.157133,0.013295502,0.082119556
658,20.169257,20.165695,0.013785124,0.083520849
869,20.158153,20.16814,0.014122296,0.075153384
1147,20.155502,20.158201,0.0090332615,0.053971985
1515,20.180037,20.177051,0.011027422,0.071537607
2000,20.160601,20.173571,0.011292396,0.055581561
3200,20.163162,20.167411,0.0026890531,0.025644278
