r,delta_sr,delta_plain,residual
0.1787847,0.041521244,-0.080790373,0.041521244
0.30488556,-0.10858938,-0.062388064,-0.10858938
0.36001474,0.068475513,-0.076381749,0.068475513
0.40905944,0.094133392,-0.063065406,0.094133392
0.4506626,0.078651753,-0.083904966,0.078651753
0.49298477,-0.039930591,-0.15405544,-0.039930591
0.52503611,-0.057699225,-0.062658266,-0.057699225
0.55614935,-0.029844787,-0.1172935,-0.029844787
0.58699877,-0.066364656,-0.054205893,-0.066364656
0.61751054,-0.026689585,-0.10834793,-0.026689585
0.65191368,-0.012205593,-0.077434947,-0.012205593
0.67586088,0.01888524,-0.096625242,0.01888524
0.69626644,-0.073670575,-0.10281772,-0.073670575
0.72054048,0.039100525,0.0031688999,0.039100525
0.75183336,0.003783838,-0.069582674,0.003783838
0.77645674,0.027978652,-0.034769729,0.027978652
0.80245824,0.022808052,-0.030527276,0.022808052
0.83169221,-0.014010708,-0.03850259,-0.014010708
0.86017042,0.035722588,0.0029828861,0.035722588
0.88999559,0.018640508,-0.055498392,0.018640508
0.92107719,0.044793673,0.010299961,0.044793673
0.948772,-0.027571715,0.032620014,-0.027571715
0.98283,-0.0012147148,0.064266315,-0.0012147148
1.0209616,-0.033054622,0.083519701,-0.033054622
1.0593473,-0.0073517252,0.090080287,-0.0073517252
1.1000278,0.010778607,0.049651119,0.010778607
1.1531687,-0.024764224,0.19872811,-0.024764224
1.2195605,0.0025381156,0.19130672,0.0025381156
1.3018794,-0.012378518,0.26612542,-0.012378518
1.467152,0.024624967,0.36958143,0.024624967
