index,eigenvalue
1,436.5933
2,366.03141
3,114.02015
4,45.788394
5,36.83391
6,25.950369
7,17.393314
8,8.9241754
9,6.7659712
10,5.8188218
11,4.8347779
12,4.3866797
13,4.0068336
14,3.1715422
15,2.659515
16,2.1397513
17,1.8854734
18,1.7469788
19,1.5756815
20,1.455959
21,1.2360757
22,1.0979218
23,1.0156557
24,0.92498942
25,0.88824634
26,0.87885667
27,0.8673178
28,0.78272181
29,0.73731241
30,0.67235424
31,0.66180677
32,0.63449368
33,0.56065012
34,0.52143025
35,0.48746788
36,0.48049133
37,0.47382119
38,0.45988006
39,0.44023005
40,0.39729401
41,0.39469652
42,0.37167566
43,0.35120121
44,0.34174007
45,0.33456845
46,0.30587513
47,0.30008368
48,0.29009793
49,0.27436337
50,0.25391007
51,0.24949642
52,0.2440244
53,0.23216386
54,0.21488641
55,0.19931108
56,0.18886719
57,0.18558493
58,0.17930488
59,0.17295843
60,0.17186495
61,0.16491649
62,0.1595
63,0.14626107
64,0.14321653
65,0.13408426
66,0.12902463
67,0.12779428
68,0.12301196
69,0.12063005
70,0.11204284
71,0.10895175
72,0.10642651
73,0.10356963
74,0.10018379
75,0.099465377
76,0.098038015
77,0.0912523
78,0.087983836
79,0.084345484
80,0.082686228
81,0.079558936
82,0.076747968
83,0.074434824
84,0.070058571
85,0.068426645
86,0.067953521
87,0.065446092
88,0.062969744
89,0.061172125
90,0.059457386
91,0.056571633
92,0.053965629
93,0.05313419
94,0.052331441
95,0.050774459
96,0.050078756
97,0.049592924
98,0.048166601
99,0.046416203
100,0.044260143
101,0.042639399
102,0.041914974
103,0.039523095
104,0.038645365
105,0.038041619
106,0.03588363
107,0.035264154
108,0.034589682
109,0.032638179
110,0.031820893
111,0.031307952
112,0.030421276
113,0.029241143
114,0.028680558
115,0.027377572
116,0.0271819
117,0.025995008
118,0.025229091
119,0.0244476
120,0.023810019
121,0.02312702
122,0.022562317
123,0.022394635
124,0.021591428
125,0.021392428
126,0.020475602
127,0.020151455
128,0.019221831
129,0.019046871
130,0.018607866
131,0.018322533
132,0.01767703
133,0.017165291
134,0.016854461
135,0.016219941
136,0.015542216
137,0.015287
138,0.014813714
139,0.014647725
140,0.014130224
141,0.013659509
142,0.01338601
143,0.013190831
144,0.012788983
145,0.012599769
146,0.012278644
147,0.011996551
148,0.011823853
149,0.011355054
150,0.011346308
151,0.011242755
152,0.011133884
153,0.010515545
154,0.010313114
155,0.010089748
156,0.0099448863
157,0.0097768524
158,0.009310353
159,0.009158635
160,0.0089711829
161,0.0085157041
162,0.0083136979
163,0.0082613013
164,0.0081791705
165,0.0079139541
166,0.0077695571
167,0.0075857477
168,0.0074119965
169,0.0072129778
170,0.007029856
171,0.0069606671
172,0.0068213544
173,0.0066881663
174,0.0065697051
175,0.0064644642
176,0.0063034936
177,0.0062455127
178,0.006017616
179,0.0058590112
180,0.0056483911
181,0.0055883636
182,0.0055353411
183,0.0054573892
184,0.0051835361
185,0.0051405168
186,0.0050741659
187,0.0049627875
188,0.0049309351
189,0.0047613228
190,0.0045607031
191,0.0045455218
192,0.0044672724
193,0.0043961096
194,0.0042526858
195,0.0042287206
196,0.0040851925
197,0.0040261124
198,0.0039699561
199,0.0038322641
200,0.0038020627
201,0.0037325341
202,0.0036583958
203,0.0035787358
204,0.0035302576
205,0.0034205633
206,0.0033686387
207,0.0033028178
208,0.0031894437
209,0.0031756194
210,0.0031439981
211,0.0030633912
212,0.0030057517
213,0.0029100055
214,0.0028724922
215,0.0028513989
216,0.0027617195
217,0.0027193074
218,0.0026399798
219,0.0026285556
220,0.0026023494
221,0.0025568354
222,0.0025330906
223,0.0024850848
224,0.0023803559
225,0.002328318
226,0.0023224062
227,0.0022969453
228,0.0022614548
229,0.0022076509
230,0.0021590112
231,0.002141608
232,0.0021268351
233,0.0020550901
234,0.0020071048
235,0.0019763946
236,0.0019629884
237,0.0019088921
238,0.0018766231
239,0.0018356445
240,0.0017925185
241,0.001756995
242,0.0016959678
243,0.001681528
244,0.0016693075
245,0.0016566971
246,0.0016272516
247,0.0015922502
248,0.0015818325
249,0.0015343561
250,0.0014849773
251,0.001471603
252,0.0014471885
253,0.0014282378
254,0.0014035651
255,0.0013919026
256,0.001375575
257,0.0013466682
258,0.001322208
259,0.001310834
260,0.0012872317
261,0.0012385976
262,0.0012270365
263,0.0012027482
264,0.0011933541
265,0.0011644978
266,0.0011596088
267,0.001145786
268,0.0011095748
269,0.0010913715
270,0.0010658861
271,0.0010525851
272,0.0010417732
273,0.0010290151
274,0.0010048337
275,0.00095729773
276,0.00094922533
277,0.00094787431
278,0.00094128066
279,0.00092712252
280,0.00090265459
281,0.00088763137
282,0.00088051909
283,0.00087036105
284,0.00084587522
285,0.00083467102
286,0.00082607104
287,0.00080714959
288,0.00079721155
289,0.00077774444
290,0.00076551777
291,0.00076120596
292,0.00075114587
293,0.00073232329
294,0.00072696113
295,0.00071767412
296,0.00071023368
297,0.00068368037
298,0.0006716591
299,0.00065201495
300,0.00064742923
301,0.00064340847
302,0.00063851504
303,0.00063509274
304,0.00062418222
305,0.00061339495
306,0.00060736111
307,0.00059287384
308,0.00058256436
309,0.00056812086
310,0.00055974688
311,0.00055241507
312,0.00055075687
313,0.00054599778
314,0.0005350458
315,0.00053037324
316,0.00051719908
317,0.00050925368
318,0.00050327257
319,0.00049274841
320,0.00048439212
321,0.00048038424
322,0.00046670109
323,0.00046475667
324,0.0004586215
325,0.00044505183
326,0.00043869435
327,0.00043070383
328,0.00041882207
329,0.00041401291
330,0.00040922323
331,0.00040307838
332,0.00040266428
333,0.00039437139
334,0.00038870315
335,0.0003822757
336,0.00037838444
337,0.00037542211
338,0.00036726948
339,0.00036607173
340,0.00035747287
341,0.00035283917
342,0.00034833542
343,0.00034079553
344,0.00033716522
345,0.00032650661
346,0.00032239279
347,0.00031634949
348,0.00031450489
349,0.00030783972
350,0.00030396066
351,0.00029778621
352,0.0002933929
353,0.00029203427
354,0.00028805942
355,0.00028279643
356,0.00027337596
357,0.00027151765
358,0.00027011386
359,0.00026738014
360,0.00025997542
361,0.00025688981
362,0.00025472172
363,0.00025221362
364,0.00024531607
365,0.00024162554
366,0.00023982323
367,0.00023464043
368,0.00023275636
369,0.00022985815
370,0.00022612662
371,0.00021976329
372,0.00021888588
373,0.00021214681
374,0.00020838106
375,0.00020721661
376,0.00020643753
377,0.00020140946
378,0.00020063159
379,0.00019374997
380,0.00019129782
381,0.00018999822
382,0.00018577426
383,0.00018289807
384,0.00018152611
385,0.00017879228
386,0.00017418043
387,0.00017261468
388,0.00017090831
389,0.00016909016
390,0.00016320455
391,0.00016235174
392,0.00016152213
393,0.00015728781
394,0.00015649439
395,0.00015332691
396,0.00015151545
397,0.00014778751
398,0.00014650698
399,0.00014470655
400,0.00014173051
401,0.0001394661
402,0.0001373497
403,0.00013455731
404,0.0001327651
405,0.0001294204
406,0.00012885118
407,0.00012611415
408,0.00012394613
409,0.00012328481
410,0.00012154157
411,0.00011888564
412,0.0001172243
413,0.00011557965
414,0.00011424374
415,0.00011215068
416,0.00011111952
417,0.00010943877
418,0.00010794398
419,0.00010608269
420,0.00010288119
421,0.00010280051
422,0.0001003637
423,0.00010016181
424,9.7084886e-05
425,9.5638728e-05
426,9.382678e-05
427,9.2209142e-05
428,9.0625764e-05
429,8.9107962e-05
430,8.7830654e-05
431,8.616709e-05
432,8.5779069e-05
433,8.5247237e-05
434,8.172393e-05
435,8.088831e-05
436,8.0007589e-05
437,7.814564e-05
438,7.7272847e-05
439,7.7225615e-05
440,7.5422326e-05
441,7.3283681e-05
442,7.2503724e-05
443,7.0999306e-05
444,6.9797093e-05
445,6.8423395e-05
446,6.7466216e-05
447,6.6272178e-05
448,6.5923436e-05
449,6.4516935e-05
450,6.3614214e-05
451,6.197314e-05
452,6.1649978e-05
453,6.0909321e-05
454,5.9945964e-05
455,5.8122184e-05
456,5.7315189e-05
