step,E_raw,E_clip,stderr,var
62,0.038497019,0.038497019,0.00038662179,0.00013215473
88,0.038890301,0.038897886,0.00030166097,0.00010976154
126,0.038497062,0.03853974,0.00032311295,0.00011736905
179,0.038089595,0.038229529,0.00029327219,0.00012435592
254,0.038303306,0.038315967,0.00030919975,0.00011512759
362,0.038036575,0.038036575,0.00033908338,0.00010744487
514,0.037597638,0.037597638,0.00026702493,0.00010455779
732,0.035905273,0.035905273,0.00026534073,9.4851318e-05
1041,0.024145909,0.024183774,0.00023228042,5.1232361e-05
1482,0.014929095,0.014667683,3.1157981e-05,1.7131874e-06
2108,0.014153677,0.013871566,1.9451999e-05,4.5289208e-07
3000,0.01382989,0.013784747,7.3328336e-06,7.4346947e-08
3500,0.013836517,0.013790581,3.5998248e-06,5.6465856e-08
