step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
62,0.94273915,0.19151752,9.7053481e+11,2.0455355,382
88,0.95590602,0.15250584,9.8950901e+11,1.7307272,461
126,0.93217207,0.17812236,9.7923389e+11,1.7364875,468
179,0.88974252,0.11237409,9.845174e+11,1.6957284,463
254,0.93498421,0.12248746,9.9192135e+11,1.5382672,458
362,0.94288963,0.048536859,9.5988853e+11,1.6422856,447
514,0.96289802,0.073468016,9.8069821e+11,1.8839065,499
732,0.9824284,0.19187412,9.7167164e+11,1.9132474,530
1041,0.96676321,0.20272763,9.7733935e+11,1.044811,279
1482,0.99995662,0.25877998,9.9926368e+11,1.5066169,941
2108,0.99949981,0.36715564,8.2583776e+11,2.3947373,1020
3000,0.99999944,0.16076346,1.6901751e+11,1.8268454,1023
3500,0.99999242,0.26275177,9.8196847e+11,1.8331546,2002
