step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
62,1,0.12306514,8.692596e+09,4.1682265,1023
88,1,0.12947145,2.2404181e+09,4.0241561,1023
126,1,0.088455968,3.5076332e+09,3.8620678,1023
179,1,0.088010922,1.2049026e+09,3.8701057,1023
254,1,0.066236298,9.8167708e+08,3.6455645,1023
362,1,0.07530249,5.9215753e+08,3.4931547,1023
514,1,0.12349446,2.5007446e+08,3.582537,1023
732,1,0.083340251,82316651,3.6581546,1023
1041,1,0.14600309,36866762,3.7091897,1023
1482,1,0.094134483,22981925,3.7472347,1023
2108,1,0.069167335,10605592,3.9135561,1023
3000,1,0.13999463,6202634.8,3.9257656,1023
3500,1,0.055203196,37891058,4.0302974,2047
