step,E_raw,E_clip,stderr,var
62,20.299344,20.298772,0.021706288,0.52728044
88,20.261555,20.261555,0.023039015,0.40093065
126,20.257189,20.257189,0.01722714,0.31133177
179,20.229402,20.229402,0.016855837,0.27629059
254,20.186726,20.187693,0.017695928,0.2848303
362,20.208155,20.213419,0.015221511,0.29632128
514,20.177101,20.178551,0.01451358,0.22338308
732,20.174827,20.175315,0.013056647,0.14261788
1041,20.173255,20.169785,0.0082100813,0.074183485
1482,20.155547,20.155713,0.0072224865,0.047622528
2108,20.156837,20.153998,0.0062843639,0.042256674
3000,20.154775,20.156952,0.0050768096,0.026900507
3500,20.158959,20.158427,0.0020372011,0.026592465
