step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
75,1,0.27235577,15828.309,7.9662917,255
159,1,0.24046307,19342.293,6.9422924,255
335,1,0.26667457,16504.11,7.3141723,255
709,1,0.19624755,18600.073,6.9714989,255
1500,1,0.23340334,17927.05,7.3355815,255
