step,cka_vs_final
0,0.9355083
300,0.99637306
600,0.99720206
900,0.99767329
1200,0.99716556
1500,0.99759583
1800,0.99846645
2100,0.99857468
2400,0.99894527
2700,0.99921639
2999,1
