r,delta_logpsi
0.17015471,-0.14651308
0.28427169,-0.14335742
0.35739535,-0.15402846
0.40381639,-0.1633294
0.44783728,-0.16720025
0.48407016,-0.18126935
0.51164782,-0.16657474
0.54361045,-0.16598519
0.57230044,-0.17545319
0.59897335,-0.16241203
0.63398823,-0.17175709
0.65977571,-0.16840893
0.68812512,-0.17444789
0.71317822,-0.18454395
0.73767849,-0.17488886
0.7656809,-0.17999451
0.79418386,-0.1785958
0.81894238,-0.17685425
0.84491063,-0.20040946
0.86423724,-0.20774733
0.89629586,-0.20908151
0.92933356,-0.20882458
0.96780249,-0.22174871
1.0002959,-0.21257852
1.0343647,-0.23157992
1.0695447,-0.22815767
1.1208101,-0.23114536
1.1885042,-0.26305912
1.2898682,-0.28133427
1.4624046,-0.31555765
