r,J_total,u_cusp,f_net
0.17015471,3.9697048,2.5820183,1.3876864
0.28427169,3.9984163,2.6674702,1.330946
0.35739535,4.1565414,2.6860512,1.4704901
0.40381639,4.2836244,2.6614467,1.6221777
0.44783728,4.3600713,2.6880456,1.6720257
0.48407016,4.5003532,2.6303072,1.8700461
0.51164782,4.3821932,2.712993,1.6692003
0.54361045,4.4109632,2.7394867,1.6714765
0.57230044,4.5033775,2.6971874,1.80619
0.59897335,4.3765509,2.7627618,1.613789
0.63398823,4.5182951,2.7564318,1.7618633
0.65977571,4.4635166,2.764633,1.6988836
0.68812512,4.5425199,2.7420083,1.8005116
0.71317822,4.6468996,2.7187187,1.9281808
0.73767849,4.5417702,2.7542571,1.7875131
0.7656809,4.621389,2.7467079,1.8746811
0.79418386,4.6146332,2.7489623,1.8656709
0.81894238,4.6085691,2.7619135,1.8466557
0.84491063,4.8367032,2.6593232,2.17738
0.86423724,4.9149005,2.6380967,2.2768038
0.89629586,4.9544021,2.6505494,2.3038527
0.92933356,4.9407286,2.654965,2.2857636
0.96780249,5.1004436,2.6161955,2.4842482
1.0002959,5.0070701,2.6540875,2.3529826
1.0343647,5.2101519,2.5867121,2.6234399
1.0695447,5.1740211,2.5956449,2.5783762
1.1208101,5.2234015,2.6068875,2.616514
1.1885042,5.5352682,2.4847338,3.0505344
1.2898682,5.7247089,2.3947706,3.3299383
1.4624046,6.0625681,2.2566787,3.8058894
