step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
25,0.9999188,0.14426005,9.5120214e+11,1.0107581,1017
63,1,0.15683782,1.6913046e+09,2.060954,1023
159,1,0.0597682,5.5731852e+09,2.7462257,1023
400,1,0.12105518,4.6719857e+08,3.5018717,1023
720,1,0.10341165,7.9711714e+09,3.7614593,2047
