step,E_raw,E_clip,stderr,var
62,20.235487,20.240927,0.019977752,0.23600326
102,20.201583,20.208658,0.018140008,0.19661883
167,20.180314,20.178627,0.015090131,0.12073707
275,20.178668,20.197316,0.014015341,0.13808912
451,20.191474,20.191868,0.014637706,0.09193589
741,20.144332,20.152097,0.013092084,0.094822445
1218,20.156468,20.167179,0.0099604688,0.060223769
2000,20.183858,20.186579,0.011353968,0.057196469
3200,20.157654,20.162725,0.00352409,0.043290627
