N,accept_rate,collect_calls,edge_modules,error,global_modules,json_path,node_modules,ok,omega,sampler,variant
12,,,0,"RuntimeError: Error(s) in loading state_dict for CTNNBackflowNet:
	Missing key(s) in state_dict: ""node_embed.weight"", ""node_embed.bias"", ""edge_embed.0.weight"", ""edge_embed.0.bias"", ""edge_embed.2.weight"", ""edge_embed.2.bias"", ""rho_v_to_e.weight"", ""rho_e_to_v.weight"", ""edge_update.0.weight"", ""edge_update.0.bias"", ""edge_update.2.weight"", ""edge_update.2.bias"", ""node_update.0.weight"", ""node_update.0.bias"", ""node_update.2.weight"", ""node_update.2.bias"", ""node_update.4.weight"", ""node_update.4.bias"", ""dx_head.weight"", ""dx_head.bias"". 
	Unexpected key(s) in state_dict: ""phi.0.weight"", ""phi.0.bias"", ""phi.2.weight"", ""phi.2.bias"", ""psi.0.weight"", ""psi.0.bias"", ""psi.2.weight"", ""psi.2.bias"". ",0,../results/tables/newer/repgeom/SR/N12_omega0.01.json,0,False,0.01,,SR
12,0.41108630952380953,5,4,,13,../results/tables/newer/repgeom/CTNN/N12_omega0.01.json,10,True,0.01,mcmc,CTNN
12,,,0,"RuntimeError: Error(s) in loading state_dict for CTNNBackflowNet:
	Missing key(s) in state_dict: ""node_embed.weight"", ""node_embed.bias"", ""edge_embed.0.weight"", ""edge_embed.0.bias"", ""edge_embed.2.weight"", ""edge_embed.2.bias"", ""rho_v_to_e.weight"", ""rho_e_to_v.weight"", ""edge_update.0.weight"", ""edge_update.0.bias"", ""edge_update.2.weight"", ""edge_update.2.bias"", ""node_update.0.weight"", ""node_update.0.bias"", ""node_update.2.weight"", ""node_update.2.bias"", ""node_update.4.weight"", ""node_update.4.bias"", ""dx_head.weight"", ""dx_head.bias"". 
	Unexpected key(s) in state_dict: ""phi.0.weight"", ""phi.0.bias"", ""phi.2.weight"", ""phi.2.bias"", ""psi.0.weight"", ""psi.0.bias"", ""psi.2.weight"", ""psi.2.bias"", ""psi.4.weight"", ""psi.4.bias"". ",0,../results/tables/newer/repgeom/SR/N12_omega0.1.json,0,False,0.1,,SR
12,0.40907738095238094,5,4,,13,../results/tables/newer/repgeom/CTNN/N12_omega0.1.json,10,True,0.1,mcmc,CTNN
12,,,0,"RuntimeError: Error(s) in loading state_dict for CTNNBackflowNet:
	Missing key(s) in state_dict: ""node_embed.weight"", ""node_embed.bias"", ""edge_embed.0.weight"", ""edge_embed.0.bias"", ""edge_embed.2.weight"", ""edge_embed.2.bias"", ""rho_v_to_e.weight"", ""rho_e_to_v.weight"", ""edge_update.0.weight"", ""edge_update.0.bias"", ""edge_update.2.weight"", ""edge_update.2.bias"", ""node_update.0.weight"", ""node_update.0.bias"", ""node_update.2.weight"", ""node_update.2.bias"", ""node_update.4.weight"", ""node_update.4.bias"", ""dx_head.weight"", ""dx_head.bias"". 
	Unexpected key(s) in state_dict: ""phi.0.weight"", ""phi.0.bias"", ""phi.2.weight"", ""phi.2.bias"", ""psi.0.weight"", ""psi.0.bias"", ""psi.2.weight"", ""psi.2.bias"", ""psi.4.weight"", ""psi.4.bias"". ",0,../results/tables/newer/repgeom/SR/N12_omega0.5.json,0,False,0.5,,SR
12,0.6276041666666666,5,4,,13,../results/tables/newer/repgeom/CTNN/N12_omega0.5.json,10,True,0.5,mcmc,CTNN
12,,,0,"RuntimeError: Error(s) in loading state_dict for CTNNBackflowNet:
	Missing key(s) in state_dict: ""node_embed.weight"", ""node_embed.bias"", ""edge_embed.0.weight"", ""edge_embed.0.bias"", ""edge_embed.2.weight"", ""edge_embed.2.bias"", ""rho_v_to_e.weight"", ""rho_e_to_v.weight"", ""edge_update.0.weight"", ""edge_update.0.bias"", ""edge_update.2.weight"", ""edge_update.2.bias"", ""node_update.0.weight"", ""node_update.0.bias"", ""node_update.2.weight"", ""node_update.2.bias"", ""node_update.4.weight"", ""node_update.4.bias"", ""dx_head.weight"", ""dx_head.bias"". 
	Unexpected key(s) in state_dict: ""phi.0.weight"", ""phi.0.bias"", ""phi.2.weight"", ""phi.2.bias"", ""psi.0.weight"", ""psi.0.bias"", ""psi.2.weight"", ""psi.2.bias"". ",0,../results/tables/newer/repgeom/SR/N12_omega1.0.json,0,False,1.0,,SR
12,0.6599702380952381,5,4,,13,../results/tables/newer/repgeom/CTNN/N12_omega1.0.json,10,True,1.0,mcmc,CTNN
20,,,0,FileNotFoundError: No SR f_net candidates found.,0,../results/tables/newer/repgeom/SR/N20_omega0.001.json,0,False,0.001,,SR
20,0.3313244047619048,5,4,,13,../results/tables/newer/repgeom/CTNN/N20_omega0.001.json,10,True,0.001,mcmc,CTNN
20,,,0,FileNotFoundError: No SR f_net candidates found.,0,../results/tables/newer/repgeom/SR/N20_omega0.01.json,0,False,0.01,,SR
20,0.3796875,5,4,,13,../results/tables/newer/repgeom/CTNN/N20_omega0.01.json,10,True,0.01,mcmc,CTNN
20,,,0,FileNotFoundError: No SR f_net candidates found.,0,../results/tables/newer/repgeom/SR/N20_omega0.1.json,0,False,0.1,,SR
20,0.3735863095238095,5,4,,13,../results/tables/newer/repgeom/CTNN/N20_omega0.1.json,10,True,0.1,mcmc,CTNN
20,,,0,FileNotFoundError: No SR f_net candidates found.,0,../results/tables/newer/repgeom/SR/N20_omega0.5.json,0,False,0.5,,SR
20,0.5035714285714286,5,4,,13,../results/tables/newer/repgeom/CTNN/N20_omega0.5.json,10,True,0.5,mcmc,CTNN
20,,,0,"RuntimeError: Error(s) in loading state_dict for CTNNBackflowNet:
	Missing key(s) in state_dict: ""node_embed.weight"", ""node_embed.bias"", ""edge_embed.0.weight"", ""edge_embed.0.bias"", ""edge_embed.2.weight"", ""edge_embed.2.bias"", ""rho_v_to_e.weight"", ""rho_e_to_v.weight"", ""edge_update.0.weight"", ""edge_update.0.bias"", ""edge_update.2.weight"", ""edge_update.2.bias"", ""node_update.0.weight"", ""node_update.0.bias"", ""node_update.2.weight"", ""node_update.2.bias"", ""node_update.4.weight"", ""node_update.4.bias"", ""dx_head.weight"", ""dx_head.bias"". 
	Unexpected key(s) in state_dict: ""phi.0.weight"", ""phi.0.bias"", ""phi.2.weight"", ""phi.2.bias"", ""phi.4.weight"", ""phi.4.bias"", ""psi.0.weight"", ""psi.0.bias"", ""psi.2.weight"", ""psi.2.bias"", ""psi.4.weight"", ""psi.4.bias"". ",0,../results/tables/newer/repgeom/SR/N20_omega1.0.json,0,False,1.0,,SR
20,0.5321428571428571,5,4,,13,../results/tables/newer/repgeom/CTNN/N20_omega1.0.json,10,True,1.0,mcmc,CTNN
