N,omega_str,omega,run_name,run_dir,f_ckpt,bf_ckpt,layer,view,n,F,eff_rank,pr,idim,expvar_pc1,expvar_pc2,expvar_pc3,expvar_cum3,expvar_cum10,note
2,1,1.0,w_10,../results/models/2p/w_10,../results/models/2p/w_10/f_netCTNN.pt,../results/models/2p/w_10/backflowCTNN.pt,rho_v_to_e@rho_v_to_e,pooled_BxH,1024,128,1.9473052943111449,1.8994717345406602,0.890141601984286,0.6150264407403816,0.38497355919935494,4.745899904887106e-13,0.9999999999402112,0.999999999943533,
2,1,1.0,w_10,../results/models/2p/w_10,../results/models/2p/w_10/f_netCTNN.pt,../results/models/2p/w_10/backflowCTNN.pt,rho_v_to_e@rho_v_to_e,node_instances,,,,,,,,,,,empty
2,1,1.0,w_10,../results/models/2p/w_10,../results/models/2p/w_10/f_netCTNN.pt,../results/models/2p/w_10/backflowCTNN.pt,rho_v_to_e@rho_v_to_e,edge_instances,2048,128,2.7408341773036717,2.549453238672036,0.8680252231861318,0.5122945519470015,0.3175648518842175,0.17014059614982396,0.9999999999810429,0.9999999999820964,
2,0p5,0.5,w_05,../results/models/2p/w_05,../results/models/2p/w_05/f_netCTNN.pt,../results/models/2p/w_05/backflowCTNN.pt,dx_head@dx_head,pooled_BxH,512,2,1.3973635858490674,1.2299504494401525,2.1526184323147977,0.8956266442824434,0.10437335570787636,nan,nan,nan,
2,0p5,0.5,w_05,../results/models/2p/w_05,../results/models/2p/w_05/f_netCTNN.pt,../results/models/2p/w_05/backflowCTNN.pt,dx_head@dx_head,node_instances,1024,2,1.8361942342831434,1.7152987040271706,1.3400222166895748,0.7037017905944543,0.2962982094016031,nan,nan,nan,
2,0p5,0.5,w_05,../results/models/2p/w_05,../results/models/2p/w_05/f_netCTNN.pt,../results/models/2p/w_05/backflowCTNN.pt,dx_head@dx_head,edge_instances,,,,,,,,,,,empty
2,0p5,0.5,w_05,../results/models/2p/w_05,../results/models/2p/w_05/f_netCTNN.pt,../results/models/2p/w_05/backflowCTNN.pt,edge_embed@edge_embed,pooled_BxH,512,128,1.3131189319092853,1.1163496791910017,2.208618097531869,0.9458196701415432,0.030418675209172286,0.01579782483734996,0.9920361701880654,0.9999564935434903,
2,0p5,0.5,w_05,../results/models/2p/w_05,../results/models/2p/w_05/f_netCTNN.pt,../results/models/2p/w_05/backflowCTNN.pt,edge_embed@edge_embed,node_instances,,,,,,,,,,,empty
2,0p5,0.5,w_05,../results/models/2p/w_05,../results/models/2p/w_05/f_netCTNN.pt,../results/models/2p/w_05/backflowCTNN.pt,edge_embed@edge_embed,edge_instances,1024,128,3.4004743058910534,2.895031934489497,1.30159185650123,0.44659922680492603,0.3400771417373926,0.17270287979838467,0.9593792483407033,0.9989763188329412,
2,0p5,0.5,w_05,../results/models/2p/w_05,../results/models/2p/w_05/f_netCTNN.pt,../results/models/2p/w_05/backflowCTNN.pt,edge_update@edge_update,pooled_BxH,512,128,1.1653945693354,1.0565512074379306,3.406956776809186,0.9726940320472638,0.016588876661750473,0.007983390390238236,0.9972662990992525,0.9999753023383803,
2,0p5,0.5,w_05,../results/models/2p/w_05,../results/models/2p/w_05/f_netCTNN.pt,../results/models/2p/w_05/backflowCTNN.pt,edge_update@edge_update,node_instances,,,,,,,,,,,empty
2,0p5,0.5,w_05,../results/models/2p/w_05,../results/models/2p/w_05/f_netCTNN.pt,../results/models/2p/w_05/backflowCTNN.pt,edge_update@edge_update,edge_instances,1024,128,2.2744737868245264,1.7087719179160823,1.9174337559873083,0.7417964306675755,0.18037220863126782,0.04375084292523124,0.9659194822240745,0.9997461546932338,
2,0p5,0.5,w_05,../results/models/2p/w_05,../results/models/2p/w_05/f_netCTNN.pt,../results/models/2p/w_05/backflowCTNN.pt,node_embed@node_embed,pooled_BxH,512,128,1.9757754871137134,1.9526039508495021,2.1607126710770252,0.5778993786500424,0.42210062131299037,2.9125112551752334e-13,0.9999999999633239,0.9999999999653619,
2,0p5,0.5,w_05,../results/models/2p/w_05,../results/models/2p/w_05/f_netCTNN.pt,../results/models/2p/w_05/backflowCTNN.pt,node_embed@node_embed,node_instances,1024,128,2.9335470443427623,2.866855224576548,1.303338720616233,0.43377727701462176,0.2962919083029201,0.2699308146726882,0.99999999999023,0.9999999999907732,
2,0p5,0.5,w_05,../results/models/2p/w_05,../results/models/2p/w_05/f_netCTNN.pt,../results/models/2p/w_05/backflowCTNN.pt,node_embed@node_embed,edge_instances,,,,,,,,,,,empty
2,0p5,0.5,w_05,../results/models/2p/w_05,../results/models/2p/w_05/f_netCTNN.pt,../results/models/2p/w_05/backflowCTNN.pt,node_update@node_update,pooled_BxH,512,128,1.3535045697451782,1.1607057045346745,3.139364542611693,0.9262134266505656,0.05882828355046996,0.014583786369373686,0.9996254965704092,0.9999962219455265,
2,0p5,0.5,w_05,../results/models/2p/w_05,../results/models/2p/w_05/f_netCTNN.pt,../results/models/2p/w_05/backflowCTNN.pt,node_update@node_update,node_instances,1024,128,1.9874235230397765,1.5141406063853247,1.7653787419623557,0.801510849485739,0.12276551451111657,0.04637926688180729,0.9706556308786629,0.9999751328085275,
2,0p5,0.5,w_05,../results/models/2p/w_05,../results/models/2p/w_05/f_netCTNN.pt,../results/models/2p/w_05/backflowCTNN.pt,node_update@node_update,edge_instances,,,,,,,,,,,empty
2,0p5,0.5,w_05,../results/models/2p/w_05,../results/models/2p/w_05/f_netCTNN.pt,../results/models/2p/w_05/backflowCTNN.pt,rho_e_to_v@rho_e_to_v,pooled_BxH,512,128,1.0241889658424124,1.0061557731859423,2.5725139335735108,0.9969340917886015,0.0018419376608797093,0.0009382413570621645,0.9997142708065434,0.9999976286893378,
2,0p5,0.5,w_05,../results/models/2p/w_05,../results/models/2p/w_05/f_netCTNN.pt,../results/models/2p/w_05/backflowCTNN.pt,rho_e_to_v@rho_e_to_v,node_instances,,,,,,,,,,,empty
2,0p5,0.5,w_05,../results/models/2p/w_05,../results/models/2p/w_05/f_netCTNN.pt,../results/models/2p/w_05/backflowCTNN.pt,rho_e_to_v@rho_e_to_v,edge_instances,1024,128,1.3050014223834778,1.1247179092050636,1.7611488153175083,0.9417923011694279,0.04539336761483336,0.008401550162941729,0.995587218947203,0.9999676356410829,
2,0p5,0.5,w_05,../results/models/2p/w_05,../results/models/2p/w_05/f_netCTNN.pt,../results/models/2p/w_05/backflowCTNN.pt,rho_v_to_e@rho_v_to_e,pooled_BxH,1024,128,1.9719759615216637,1.9453564303232442,0.9093203846583375,0.5837992138498518,0.41620078605617705,7.400553232133162e-13,0.9999999999067689,0.9999999999119487,
2,0p5,0.5,w_05,../results/models/2p/w_05,../results/models/2p/w_05/f_netCTNN.pt,../results/models/2p/w_05/backflowCTNN.pt,rho_v_to_e@rho_v_to_e,node_instances,,,,,,,,,,,empty
