arch,label,error_pct,var_EL,deff,no_pr,no_trace
ctnn,seed1,0.0193844502861707,0.022230508076975602,1.4719667237954783,2.294983294366547,3.0550803776186726
ctnn,seed2,0.039013797187099866,0.020806960743630983,1.1825580368806523,2.1883087580171194,3.1044845335728644
ctnn,2x2adam,0.0017650916323095885,0.029931712561132227,1.5340616239127245,2.2286518549576746,3.068352129315093
ctnn,2x2sr,0.031114601262613884,0.024343138743186034,1.6164553604535847,2.220775663855184,3.0360666235441154
ctnn,acc,-0.01320151767199369,0.010316997652670754,1.210946241495645,2.12409625315542,3.0964729358797674
deepset,2x2adam,0.04234935408039143,0.09191232190120922,3.2262998610031577,2.1192191917108776,3.044158721527803
deepset,2x2sr,0.09076045595764026,0.09500634152093561,3.2293481182157,2.230172600817166,3.0682628981655506
deepset,casc,0.005899588202140512,0.025268653833857718,3.300695036980125,1.971061947888274,3.217944399456232
