N,seed,omega,cell,E_raw,err,var,deff,kappa,bfrank,overlap_vmc_colloc
2,0,0.01,vmc_adam,0.07383804316526109,-0.0039037021484947584,2.0274930638088937e-09,1.1982123116301922,996986487969.0288,1.8711948332719657,0.9992175531966284
2,0,0.01,vmc_sr,0.0738365409166646,-0.004756403069001828,3.019615557342001e-09,1.2386944793277335,990279941812.8732,1.8508591119531124,0.996987357380894
2,0,0.01,colloc_adam,0.07386567496414705,0.03149310582632303,8.71274624722379e-07,1.093561454642171,997375093114.4381,1.348700637028899,0.9992175531966284
2,0,0.01,colloc_sr,0.073863512714973,0.021801740224516298,1.0721579036879466e-06,1.2200851533250976,971535696103.4865,1.8046636173611623,0.996987357380894
2,0,0.1,vmc_adam,0.44080356081106836,0.006972745665779211,5.098615472408836e-08,2.081408800154352,994881789411.2578,1.9956410585350022,1.0
2,0,0.1,vmc_sr,0.4408304810217274,0.010160510612310018,4.288477379531054e-08,2.1487885651646743,997986157469.4392,1.9987784782969578,0.9990061266464969
2,0,0.1,colloc_adam,0.44102789892444355,3.185883205223317e-05,1.949626016389415e-05,1.3497565611681452,997182423534.5758,1.671068419592133,1.0
2,0,0.1,colloc_sr,0.44071533755404246,-0.06450843921844901,2.817678843517169e-05,2.026068505404978,999918031554.3218,1.9988512963298866,0.9990061266464969
2,0,1.0,vmc_adam,2.9999580784373645,0.0014817491796659255,5.824468911353925e-06,4.256835225719996,967359324594.5293,1.9985753005300797,0.9995841119939737
2,0,1.0,vmc_sr,3.000053799190228,-0.0008827789287716806,2.557153834388907e-06,4.227648813610028,985790579525.8418,1.9987132975811805,0.9998396075399981
2,0,1.0,colloc_adam,3.0028602469552754,-0.02471266447561978,0.004224054532086388,4.402379117560542,988689175462.9891,1.9551714238814477,0.9995841119939737
2,0,1.0,colloc_sr,2.999266457435717,-0.21866920958023192,0.001866163243034429,4.20893464464706,990360820115.571,1.9966304340569503,0.9998396075399981
2,1,0.01,vmc_adam,0.07383425712825502,-0.0053221480173737835,1.6679714891962602e-09,1.2211712705216484,991195684106.9874,1.9867003796456302,0.9995061150288799
2,1,0.01,vmc_sr,0.07383727243355423,-0.004792042113790572,4.110453522270956e-09,1.2665197229099252,993555358093.6432,1.9926816142554074,0.9970554171320809
2,1,0.01,colloc_adam,0.07384357109204727,-0.005294084560068902,4.371201480697088e-07,1.0833174744251575,999466558373.7643,1.7281607268695511,0.9995061150288799
2,1,0.01,colloc_sr,0.0739111490594895,0.07081004714868333,1.2499279734410554e-06,1.2394406217121108,992459751672.9425,1.9869537046742056,0.9970554171320809
