N,omega,E_mean,E_stderr,T_mean,T_stderr,V_int_mean,V_int_stderr,V_trap_mean,V_trap_stderr,Gamma,classical_ratio,rrms,acc,virial_resid,virial_resid_rel,closure,n_samples_effective
2,0.001,0.013777916822433471,1.276857937406805e-06,0.0009223454152544339,1.1758957852356915e-06,0.007970074591636657,2.373224321844659e-06,0.004885496826171875,2.1461793815134082e-06,8.64109525544513,1.2259601262197566,69.89632913230763,0.3873583454018827,4.377176980177415e-05,0.002234877373672358,-1.0629493812919222e-11,600000
2,0.01,0.07385019317626954,7.025427648364721e-07,0.009304248657226562,1.0991223174843147e-05,0.036932242342631025,1.478888779694383e-05,0.027613702211380004,1.591314800606786e-05,3.9693954561227187,1.495371007002486,16.617371095146186,0.8890429989685404,0.00031333523432414134,0.0028287486165542533,-3.4968056228379396e-11,600000
2,0.1,0.44078609970092775,8.552737297787689e-06,0.09011214473724365,0.00012642341256616737,0.17345295010884604,0.00013630553846137296,0.17722100499471027,0.00012626883982925653,1.9248565286578665,2.0434475733448143,4.2097625229306015,0.8970947496067121,-0.0007647704060872174,0.001080002282876287,-1.3987222491351758e-10,600000
2,0.5,1.659751861775716,1.2845275322549163e-05,0.44183311767578126,0.0009575871497312108,0.5173514307149252,0.0009348681938809183,0.7005673127237956,0.0005551787149947878,1.1709204448874282,2.7082840449699166,1.6739979841371322,0.8913837674058793,-0.00011695938110345416,4.173912369347272e-05,6.612141945083749e-10,600000
2,1.0,3.0000501993815103,5.020053783400602e-05,0.8850955580647787,0.001493699421528962,0.8237824665323893,0.0014150251249688333,1.2911721728515626,0.0010603394619297106,0.9307271503356681,3.1347406027870264,1.1362975723161441,0.8977816105138962,0.011629236958821454,0.002246623395192907,1.9327797140533676e-09,600000
6,0.001,0.14081724439422288,9.594254292625973e-07,0.0036360167779028417,2.3024291140049604e-06,0.08926328101038933,6.607089804820826e-06,0.047917946647206944,6.660628829709716e-06,24.549743981619915,1.0736317577578127,126.38294537793584,0.8139405307994757,0.000699421271781131,0.0036357897814309494,-4.127623243199707e-11,600000
6,0.01,0.6903606638590495,1.1333382079881681e-05,0.032673584626515706,2.311971071612497e-05,0.4171199772644043,4.8195198879559924e-05,0.2405670998128255,4.7430415701396386e-05,12.766275327069485,1.153467169760295,28.317668207488737,0.15978842324402606,0.0013329468917847032,0.0013832970419976683,2.155303935325037e-09,600000
6,0.1,3.553965625,4.949766194893769e-05,0.32886529240926105,0.0002698028125328331,1.9282693896484375,0.0003709615551621055,1.2968309423828126,0.0003464767063779095,5.863401928254489,1.3450723735434613,6.574777416721199,0.6275646466963818,-0.007661910298665697,0.001479229823662829,5.594888996540703e-10,600000
6,0.5,11.784688546549479,0.000169490409596945,1.7209198236083985,0.0018190180735800064,5.569069419759114,0.001996809638172473,4.494699311523438,0.00143477605180997,3.2361004524208306,1.6141653022230966,2.448046653020441,0.6043894822592324,0.021510443929035894,0.001195004235453081,-8.341473289874557e-09,600000
6,1.0,20.158461695963542,0.00034050582051341807,3.5922419445419314,0.004445863328128198,8.655859064229329,0.004425087111124868,7.910360691833496,0.002676377588251808,2.409598016464643,1.8277471093593394,1.6238186158798131,0.6207551064754454,0.019621569646199433,0.0006197381565369993,-4.641215411993471e-09,600000
