N,omega,effRank(ρ_in),var(PC1–3),k@10%,k@5%,R²(r̄),R²(var r),R²(Pr r<0.25),R²(shell),abl(φ),abl(ψ),abl(x),PC1φ,PC1ψ,PC1x,near(5%)
2,0.001,1.0001659221142203,0.9999987930355714,6.0,6.0,0.9998534663955827,0.0,0.0,0.01777406729156339,3.0570167553668375,7.9749579818782985,0.8089863358344136,2.834194885640231e-06,0.9999724095661926,2.4756237921698895e-05,1.6505840551001756
2,0.01,1.0356192021369732,0.9999831783786364,3.0,3.0,0.9978374640173931,0.0,0.015881114199335133,2.6187262882171325e-05,2.739420132214202,5.814649229373686,0.4050108949071898,1.3063869321653691e-05,0.9999498635874667,3.707254221154287e-05,2.39016187330537
2,0.1,1.2947686852605687,0.9996037812880181,2.0,6.0,0.9939642751737997,0.0,0.08241550687192956,0.011732920352802712,0.898786769098119,0.3985236207187677,2.608972890204909,0.0023783659620132363,0.5346827307856212,0.46293890325136544,3.8099767780725147
2,0.5,1.2387981834992554,0.9971131090508664,4.0,4.0,0.9767523529266186,0.0,0.037970647226226784,0.009954752106405507,0.003750306616531855,0.3418709246095208,1.2927168957730273,0.00028413452590067,0.5797822394880814,0.419933625985018,1.059475142833538
2,1,1.523634121446164,0.9956712023531472,3.0,4.0,0.9634024505162128,0.0,0.08791556735332728,0.008907230585506576,0.004624307481049736,0.2601244719570296,0.578368533593165,0.00022520303805747822,0.34402705699715624,0.6557477399637862,0.44396393447551735
6,0.001,1.4939788445788966,0.9785066483977841,8.0,8.0,0.9906734032488287,0.6792974990827746,0.0,0.03074940610539545,56.54062107635867,125.41890395133547,8.005113909222231,0.00952090876306074,0.12809619140341172,0.8623828998325274,1.1079195494091978
6,0.01,1.3573100517688899,0.9847248359536573,8.0,12.0,0.9935891695590751,0.7698139726732758,0.013195666471639944,0.023235323672574637,16.345143886777183,113.45170981411945,7.918191730528977,0.052694109950183386,0.4417573013349007,0.5055485887139158,1.2097003387931384
6,0.1,2.802109243304956,0.8893848204469518,12.0,12.0,0.9428255853587686,0.4404177678177299,0.005577072377392134,0.005594234591884906,25.55904418104182,21.306151509128952,9.08265279908238,0.6561965933794683,0.20672492963236377,0.13707847698716774,1.5354536509128829
6,0.5,2.5768145502569864,0.897164804791717,8.0,12.0,0.9858527946459247,0.4894884697987236,0.014518880538854972,0.011743238586863991,0.3182083561012667,12.646053675135025,6.196120963574791,0.1388292432953616,0.639280161837504,0.2218905948661345,1.0123625614075125
6,1,2.65377236168418,0.9694257594477225,8.0,8.0,0.9712169945054235,0.39324875161720807,0.03509500397103149,0.014874441511672165,0.2658724502182685,3.8869540188760654,2.8983544818504683,0.024877019930891975,0.6432747718108407,0.3318482082572675,1.040672209127737
12,0.001,1.6694456481001854,0.9913591674702757,4.0,6.0,0.9950907028486394,0.8036954737136156,0.0785015478977672,0.03429890746366726,99.17819785220212,39.8741163829567,39.75846530701419,0.5281873319915718,0.14454727602100217,0.32726539198642585,0.9980987179393213
12,0.01,1.6483151817325432,0.9945558039918124,3.0,4.0,0.9930239756324251,0.8586986487393055,0.01637353562121535,0.029008316552251556,54.44198424614416,101.10713836062766,14.807657173058388,0.43326627355997355,0.10862859631514225,0.45810513012388404,1.0803419560282985
12,0.1,2.510320400320832,0.9021249007318939,12.0,12.0,0.9681415019242173,0.6899134326134337,0.009269809028594422,0.025294817383805124,1.3000848109622225,182.60931116565808,11.752166789577013,0.0631147421571673,0.748413488090826,0.18847176975100674,1.0624954983854606
12,0.5,2.0511868036326124,0.9704654909891532,6.0,8.0,0.981552172219644,0.6421088664456969,0.022700079334070145,0.016965219793650066,1.9656546516864681,87.54244743186226,6.015501103949724,0.10285374062721712,0.7557615358464217,0.1413847235253613,1.0355617143588753
12,1,2.133628478953388,0.9427402573703104,12.0,12.0,0.9919254613209012,0.6784813260609699,0.015198963805275523,0.025503987857875554,0.7963632622427511,32.54437253368249,1.5756646658581992,0.09943926808146139,0.7458004907038259,0.1547602412137125,1.0112641559673552
20,0.001,3.002590300805827,0.9306707120996508,6.0,6.0,0.968496179559553,0.724355588284084,0.01293690059215069,0.062020286715946615,193.79120018114338,1221.8935735373777,136.7984486125882,0.46713151546345333,0.18573608657895782,0.34713239795658873,1.0345081756070058
20,0.001,3.002590300805827,0.9306707120996508,6.0,6.0,0.968496179559553,0.724355588284084,0.01293690059215069,0.062020286715946615,193.79120018114338,1221.8935735373777,136.7984486125882,0.46713151546345333,0.18573608657895782,0.34713239795658873,1.0345081756070058
20,0.01,1.8858401245051026,0.9710845008989242,6.0,6.0,0.9935387274122608,0.8346374759699662,0.009968492167581222,0.030383470791532696,78.90285703173822,1221.9855674546616,18.423849975810413,0.44408734024633084,0.29435437483976296,0.26155828491290606,1.0404811544400516
20,0.5,2.0636506988196555,0.9786269182880794,8.0,8.0,0.9883698266002319,0.7613364383905277,0.03120802597178729,0.032156666094618536,0.5553090873725331,223.48345582763392,4.329762588501534,0.11642564890362422,0.8055156406146425,0.07805871048073332,1.0616677630606588
20,1,2.305222525909616,0.986463263582422,6.0,6.0,0.990555562435738,0.753402957177497,0.029608118095582503,0.05674706136369967,0.1429283434376796,139.13600872166117,3.4694659711227613,0.11796992958221257,0.8096582342055878,0.07237183621119928,1.0167278212843598
