file,N,omega,k,mae_pc,mae_rand
analysis_CTNN_N6_omega_0.5.json,6,0.5,3,0.14684771789266443,0.7965784668922424
analysis_CTNN_N6_omega_0.5.json,6,0.5,4,0.146649282993637,0.6925268173217773
analysis_CTNN_N6_omega_0.5.json,6,0.5,6,0.10364541488414093,0.6121505498886108
analysis_CTNN_N6_omega_0.5.json,6,0.5,8,0.017019965723586453,0.3793468177318573
analysis_CTNN_N6_omega_0.5.json,6,0.5,12,1.212331127619879e-15,1.0440419052364547e-15
analysis_CTNN_N6_omega_1.0.json,6,1.0,1,0.06977885126885269,0.7208611369132996
analysis_CTNN_N6_omega_1.0.json,6,1.0,2,0.05185880559238128,0.6935951113700867
analysis_CTNN_N6_omega_1.0.json,6,1.0,3,0.04918675316222411,0.557637631893158
analysis_CTNN_N6_omega_1.0.json,6,1.0,4,0.03732689791897015,0.572796642780304
analysis_CTNN_N6_omega_1.0.json,6,1.0,6,0.008503196688442915,0.3458693027496338
analysis_CTNN_N6_omega_1.0.json,6,1.0,8,0.0033248969535475854,0.29073792695999146
analysis_CTNN_N6_omega_1.0.json,6,1.0,12,5.13275553446685e-16,4.0071688778590617e-16
analysis_CTNN_N12_omega_0.001.json,12,0.001,1,5.514784887584782,19.610090255737305
analysis_CTNN_N12_omega_0.001.json,12,0.001,2,4.4206247672903904,17.895294189453125
analysis_CTNN_N12_omega_0.001.json,12,0.001,3,0.89284849770877,19.457040786743164
analysis_CTNN_N12_omega_0.001.json,12,0.001,4,0.5047457078176784,17.726640701293945
analysis_CTNN_N12_omega_0.001.json,12,0.001,6,0.270512731996615,14.889653205871582
analysis_CTNN_N12_omega_0.001.json,12,0.001,8,0.02000760685203779,7.8389458656311035
analysis_CTNN_N12_omega_0.001.json,12,0.001,12,1.0917463202737305e-14,1.2281063786637268e-14
analysis_CTNN_N12_omega_0.01.json,12,0.01,1,1.508190733044564,5.390710353851318
analysis_CTNN_N12_omega_0.01.json,12,0.01,2,1.3097910034126834,4.9685282707214355
analysis_CTNN_N12_omega_0.01.json,12,0.01,3,0.08151864408355694,5.484410762786865
analysis_CTNN_N12_omega_0.01.json,12,0.01,4,0.056818080240420274,4.656246185302734
analysis_CTNN_N12_omega_0.01.json,12,0.01,6,0.04087310612686362,3.8433713912963867
analysis_CTNN_N12_omega_0.01.json,12,0.01,8,0.0015864630982280082,2.1860289573669434
analysis_CTNN_N12_omega_0.01.json,12,0.01,12,3.4749170288997597e-15,3.176696483514767e-15
analysis_CTNN_N12_omega_0.1.json,12,0.1,1,0.33751977747751816,2.796895742416382
analysis_CTNN_N12_omega_0.1.json,12,0.1,2,0.21779142321665929,2.5045478343963623
analysis_CTNN_N12_omega_0.1.json,12,0.1,3,0.18835102506048476,2.004002809524536
analysis_CTNN_N12_omega_0.1.json,12,0.1,4,0.16846838361200284,2.526508092880249
analysis_CTNN_N12_omega_0.1.json,12,0.1,6,0.15871323847140573,2.3334338665008545
analysis_CTNN_N12_omega_0.1.json,12,0.1,8,0.1489846111810979,1.697074294090271
analysis_CTNN_N12_omega_0.1.json,12,0.1,12,4.4603412609758115e-15,4.302587288323523e-15
analysis_CTNN_N12_omega_0.5.json,12,0.5,1,0.2054490107975316,1.8767558336257935
analysis_CTNN_N12_omega_0.5.json,12,0.5,2,0.15017895771449172,1.9477351903915405
analysis_CTNN_N12_omega_0.5.json,12,0.5,3,0.13856697866568302,1.4788554906845093
analysis_CTNN_N12_omega_0.5.json,12,0.5,4,0.08155213508074766,1.5702041387557983
analysis_CTNN_N12_omega_0.5.json,12,0.5,6,0.012722572736151143,0.9502217769622803
analysis_CTNN_N12_omega_0.5.json,12,0.5,8,0.003043184149094997,0.6220768094062805
analysis_CTNN_N12_omega_0.5.json,12,0.5,12,5.497629926319023e-15,2.5381155917226714e-15
analysis_CTNN_N12_omega_1.0.json,12,1.0,1,0.21188096852443458,1.438846468925476
analysis_CTNN_N12_omega_1.0.json,12,1.0,2,0.15455122167983013,1.3852046728134155
analysis_CTNN_N12_omega_1.0.json,12,1.0,3,0.15474613050844435,1.1560767889022827
analysis_CTNN_N12_omega_1.0.json,12,1.0,4,0.15408866327825854,1.1430343389511108
analysis_CTNN_N12_omega_1.0.json,12,1.0,6,0.046088797351944925,0.9182007908821106
analysis_CTNN_N12_omega_1.0.json,12,1.0,8,0.03386504670453755,0.5788595080375671
analysis_CTNN_N12_omega_1.0.json,12,1.0,12,1.7050432436579046e-15,1.7109861187838342e-15
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,1,12.189209551323678,56.36905288696289
analysis_CTNN_N20_omega_0.001.json,20,0.001,1,12.189209551323678,56.36905288696289
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,2,11.756680613511117,54.77065658569336
analysis_CTNN_N20_omega_0.001.json,20,0.001,2,11.756680613511117,54.77065658569336
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,3,8.358101482171536,49.81727600097656
analysis_CTNN_N20_omega_0.001.json,20,0.001,3,8.358101482171536,49.81727600097656
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,4,7.304252961358683,41.36086654663086
analysis_CTNN_N20_omega_0.001.json,20,0.001,4,7.304252961358683,41.36086654663086
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,6,0.4392856752288812,20.29473876953125
analysis_CTNN_N20_omega_0.001.json,20,0.001,6,0.4392856752288812,20.29473876953125
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,8,0.1829351768811695,22.517534255981445
analysis_CTNN_N20_omega_0.001.json,20,0.001,8,0.1829351768811695,22.517534255981445
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,12,3.568273008780649e-14,3.545798163005938e-14
analysis_CTNN_N20_omega_0.001.json,20,0.001,12,3.568273008780649e-14,3.545798163005938e-14
analysis_CTNN_N20_omega_0.01.json,20,0.01,1,3.399696222996752,14.458793640136719
analysis_CTNN_N20_omega_0.01.json,20,0.01,2,3.3821530935807393,13.962916374206543
analysis_CTNN_N20_omega_0.01.json,20,0.01,3,2.045213104925288,13.615296363830566
analysis_CTNN_N20_omega_0.01.json,20,0.01,4,1.8827498011805868,11.14652156829834
analysis_CTNN_N20_omega_0.01.json,20,0.01,6,0.15951107741367704,6.25372838973999
