file,N,omega,idx,corr
analysis_CTNN_N6_omega_0.01.json,6,0.01,0,-0.002183131660657722
analysis_CTNN_N6_omega_0.01.json,6,0.01,1,-0.05653355933687601
analysis_CTNN_N6_omega_0.01.json,6,0.01,2,-0.023886110725776625
analysis_CTNN_N6_omega_0.01.json,6,0.01,3,0.0023849723025242834
analysis_CTNN_N6_omega_0.01.json,6,0.01,4,-0.00649664695706437
analysis_CTNN_N6_omega_0.01.json,6,0.01,5,0.06544821865351284
analysis_CTNN_N6_omega_0.01.json,6,0.01,6,0.06613585318569204
analysis_CTNN_N6_omega_0.01.json,6,0.01,7,0.06573178304246488
analysis_CTNN_N6_omega_0.01.json,6,0.01,8,0.0650649440181455
analysis_CTNN_N6_omega_0.01.json,6,0.01,9,0.06253050399679444
analysis_CTNN_N6_omega_0.01.json,6,0.01,10,-0.027358984674310555
analysis_CTNN_N6_omega_0.01.json,6,0.01,11,-0.03745055362255221
analysis_CTNN_N6_omega_0.1.json,6,0.1,0,0.0020759810768644603
analysis_CTNN_N6_omega_0.1.json,6,0.1,1,-0.05505224490433359
analysis_CTNN_N6_omega_0.1.json,6,0.1,2,0.11135086272586214
analysis_CTNN_N6_omega_0.1.json,6,0.1,3,0.10199237123256961
analysis_CTNN_N6_omega_0.1.json,6,0.1,4,0.12203368831744502
analysis_CTNN_N6_omega_0.1.json,6,0.1,5,-0.012099252820860473
analysis_CTNN_N6_omega_0.1.json,6,0.1,6,-0.03827980761978014
analysis_CTNN_N6_omega_0.1.json,6,0.1,7,-0.09884086356693654
analysis_CTNN_N6_omega_0.1.json,6,0.1,8,-0.29955922083242503
analysis_CTNN_N6_omega_0.1.json,6,0.1,9,0.09703816516268517
analysis_CTNN_N6_omega_0.1.json,6,0.1,10,-0.1627035992233954
analysis_CTNN_N6_omega_0.1.json,6,0.1,11,-0.13078496308045787
analysis_CTNN_N6_omega_0.5.json,6,0.5,0,0.11850725322734841
analysis_CTNN_N6_omega_0.5.json,6,0.5,1,0.126413962543896
analysis_CTNN_N6_omega_0.5.json,6,0.5,2,-0.08464040427557545
analysis_CTNN_N6_omega_0.5.json,6,0.5,3,0.04555086007305458
analysis_CTNN_N6_omega_0.5.json,6,0.5,4,0.06068999143156876
analysis_CTNN_N6_omega_0.5.json,6,0.5,5,-0.10845844284150284
analysis_CTNN_N6_omega_0.5.json,6,0.5,6,-0.12168834977978946
analysis_CTNN_N6_omega_0.5.json,6,0.5,7,0.11421214255959813
analysis_CTNN_N6_omega_0.5.json,6,0.5,8,-0.008156617530421666
analysis_CTNN_N6_omega_0.5.json,6,0.5,9,-0.4668896197466581
analysis_CTNN_N6_omega_0.5.json,6,0.5,10,-0.17230037708198598
analysis_CTNN_N6_omega_0.5.json,6,0.5,11,-0.08709221595004715
analysis_CTNN_N6_omega_1.0.json,6,1.0,0,-0.04594528085177464
analysis_CTNN_N6_omega_1.0.json,6,1.0,1,-0.04114529727405153
analysis_CTNN_N6_omega_1.0.json,6,1.0,2,-0.02803517216509055
analysis_CTNN_N6_omega_1.0.json,6,1.0,3,0.24486989891681862
analysis_CTNN_N6_omega_1.0.json,6,1.0,4,0.04188653542556881
analysis_CTNN_N6_omega_1.0.json,6,1.0,5,-0.08840456884520774
analysis_CTNN_N6_omega_1.0.json,6,1.0,6,0.13587163123831467
analysis_CTNN_N6_omega_1.0.json,6,1.0,7,0.22269687480944225
analysis_CTNN_N6_omega_1.0.json,6,1.0,8,-0.08229221483985583
analysis_CTNN_N6_omega_1.0.json,6,1.0,9,0.1348697984300704
analysis_CTNN_N6_omega_1.0.json,6,1.0,10,-0.3093879391027772
analysis_CTNN_N6_omega_1.0.json,6,1.0,11,-0.14598014171362142
analysis_CTNN_N12_omega_0.001.json,12,0.001,0,-0.016239674858818803
