file,N,omega,BF,effRank_dx,expvar1,expvar2,k_err10,near_dx_q05,dx_R2_rmean,dx_R2_Pr025,PC1_COM,PC1_rel,PC1_radial,PC1_tangential,note
analysis_CTNN_N2_omega_0.001.json,2,0.001,ctnn,1.5630634903667637,0.8357518178088902,0.16424818206286643,2.0,1.6927646662531597,9.491868074307241e-06,1.816425143186251e-06,6.317050217583818e-32,1.0,0.6355442546088692,0.3644557453911308,not_ctnn
analysis_CTNN_N2_omega_0.01.json,2,0.01,ctnn,3.623898318388478,0.2,0.2,4.0,1.0000000000350138,2.220446049250313e-16,1.000088900582341e-12,0.49999999999949996,0.5000000000005,0.3930085381684016,0.6069914618315984,not_ctnn
analysis_CTNN_N2_omega_0.1.json,2,0.1,ctnn,3.6311692853803934,0.22438241042873233,0.19390594335580078,2.0,9.118251472967442,0.1985698263297312,0.10831923509796493,4.8838628298225735e-25,1.0,0.589382330766771,0.41061766923322895,not_ctnn
analysis_CTNN_N2_omega_0.5.json,2,0.5,ctnn,3.625896674471606,0.20346288378031988,0.19942450560726258,2.0,1.5876593767822906,0.4310928435529009,0.03247741095555068,7.972323868947553e-25,1.0,0.5540717536377119,0.4459282463622881,not_ctnn
analysis_CTNN_N2_omega_1.0.json,2,1,ctnn,1.9983592229336546,0.5202549317254007,0.47974506662758853,2.0,0.08250858707507712,0.00038663422627305266,2.162787223314311e-06,3.0814879110164956e-32,1.0,0.49979736393307655,0.5002026360669234,not_ctnn
analysis_CTNN_N6_omega_0.001.json,6,0.001,ctnn,9.773882611378854,0.15079152011799862,0.13268915773090037,12.0,1.1301342260303986,0.0016501991628858903,0.0,2.567906592513743e-32,1.0,0.20516084826083034,0.7948391517391696,not_ctnn
analysis_CTNN_N6_omega_0.01.json,6,0.01,ctnn,9.47645319237049,0.18119242994438536,0.15376369716053856,12.0,1.3800979580187203,0.00446534425698919,0.0,3.062228611572643e-31,1.0,0.5203777134244005,0.47962228657559947,not_ctnn
analysis_CTNN_N6_omega_0.1.json,6,0.1,ctnn,9.804943562991504,0.14397010979977015,0.12708351651106323,12.0,1.3399121875914137,0.002327572621580787,0.002821696685141206,3.749143625070071e-32,1.0,0.5986388336199034,0.40136116638009656,not_ctnn
analysis_CTNN_N6_omega_0.5.json,6,0.5,ctnn,9.945831456428676,0.11546533962534689,0.11216361611235447,12.0,0.9674509915735994,0.0024958328006777775,0.0027691856851668195,3.4923529658186945e-32,1.0,0.5052268993664809,0.4947731006335191,not_ctnn
analysis_CTNN_N6_omega_1.0.json,6,1,ctnn,9.867810664056629,0.12420261307205067,0.1168616556522033,12.0,1.134818814081161,0.0006017217617347859,0.013635587415048334,1.9644485432730152e-32,1.0,0.6074746311822833,0.3925253688177167,not_ctnn
analysis_CTNN_N12_omega_0.001.json,12,0.001,ctnn,21.553181760195983,0.06473208104021311,0.05950442522315716,,1.0063656297581665,0.0007284753698886259,0.0007467974531698562,2.7801601218012157e-32,1.0,0.7502007963782877,0.24979920362171226,not_ctnn
analysis_CTNN_N12_omega_0.01.json,12,0.01,ctnn,21.57387395199155,0.07050623206902516,0.0627721282019639,,1.178980456714726,0.0032577002479078354,0.0011101467824786715,1.701238117540357e-32,1.0,0.5512401736534173,0.44875982634658274,not_ctnn
analysis_CTNN_N12_omega_0.1.json,12,0.1,ctnn,21.712094095488688,0.05981592643587639,0.056947637009132045,,1.0982674331696203,0.002704321026508527,0.0021221348621651703,5.1358131850274954e-33,1.0,0.5952183399384521,0.4047816600615479,not_ctnn
analysis_CTNN_N12_omega_0.5.json,12,0.5,ctnn,21.64379596833777,0.06509853573834946,0.0598467859681423,,1.089599576948385,0.007854587856846784,0.0007743537974874704,5.090874819658511e-32,1.0,0.19013153507522632,0.8098684649247737,not_ctnn
analysis_CTNN_N12_omega_1.0.json,12,1,ctnn,21.65636181257537,0.05831361104510618,0.056776547050726926,,1.0993315507196828,0.0021683677847813554,0.001568121712816617,4.365441207273372e-32,1.0,0.34221572629667885,0.6577842737033212,not_ctnn
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,ctnn,36.99561271112474,0.03853756961473764,0.03745544681363266,,1.011231251998365,0.009458948437655823,0.0036522887820255034,5.053640174067055e-32,1.0,0.32634879142541795,0.673651208574582,not_ctnn
analysis_CTNN_N20_omega_0.001.json,20,0.001,ctnn,36.99561271112474,0.03853756961473764,0.03745544681363266,,1.011231251998365,0.009458948437655823,0.0036522887820255034,5.053640174067055e-32,1.0,0.32634879142541795,0.673651208574582,not_ctnn
analysis_CTNN_N20_omega_0.01.json,20,0.01,ctnn,37.109524809901394,0.0416195263679435,0.03834088806211258,,1.1128737928443202,0.0029149204802381146,0.00191055908472193,2.053041320714742e-32,1.0,0.6149848660762303,0.38501513392376974,not_ctnn
analysis_CTNN_N20_omega_0.5.json,20,0.5,ctnn,37.25431735738841,0.03732161708247369,0.03559775599691922,,1.1141087436494341,0.004201629541272123,0.001008215827560277,2.9745987991031105e-32,1.0,0.38486295000859094,0.6151370499914091,not_ctnn
analysis_CTNN_N20_omega_1.0.json,20,1,ctnn,36.987230355107506,0.03711007149987686,0.036185836629433116,,1.0238607396685533,0.006953515513898889,0.0014417390796717111,1.0554096095231484e-31,1.0,0.30790803689907026,0.6920919631009297,not_ctnn
