file,N,omega,effRank_rho_in,effRank_feat,expvar_pc1,expvar_pc2,expvar_pc3,var_PC1_3,k_mae10,k_mae05,R2_rmean,R2_rvar,R2_rmin,R2_Pr025,R2_shell,abl_phi,abl_psi,abl_x,PC1_phi,PC1_psi,PC1_x,near_q01,near_q05,near_q10,corr_out_base,corr_cusp,corr_feat_absmax
analysis_CTNN_N2_omega_0.001.json,2,0.001,1.0001659221142203,1.0001659221142203,0.9999873473147866,9.392814191428517e-06,2.0529065933647857e-06,0.9999987930355714,6.0,6.0,0.9998534663955827,0.0,,0.0,0.01777406729156339,3.0570167553668375,7.9749579818782985,0.8089863358344136,2.834194885640231e-06,0.9999724095661926,2.4756237921698895e-05,1.5334280225905168,1.6505840551001756,1.5689138387063322,-0.17140526450642748,0.24188335093426236,0.1726011090450755
analysis_CTNN_N2_omega_0.01.json,2,0.01,1.0356192021369732,1.0356192021369732,0.9949951045547211,0.0029619881687778277,0.0020260856551375358,0.9999831783786364,3.0,3.0,0.9978374640173931,0.0,,0.015881114199335133,2.6187262882171325e-05,2.739420132214202,5.814649229373686,0.4050108949071898,1.3063869321653691e-05,0.9999498635874667,3.707254221154287e-05,3.567131397992724,2.39016187330537,2.0223704073262088,-0.03796714016600455,0.0007994364693610285,0.06554293673762852
analysis_CTNN_N2_omega_0.1.json,2,0.1,1.2947686852605687,1.2947686852605687,0.933935983304252,0.06267649221217293,0.002991305771593149,0.9996037812880181,2.0,6.0,0.9939642751737997,0.0,,0.08241550687192956,0.011732920352802712,0.898786769098119,0.3985236207187677,2.608972890204909,0.0023783659620132363,0.5346827307856212,0.46293890325136544,5.080942874311413,3.8099767780725147,3.0378524270480045,0.16102958403515719,0.01674540821524448,0.17260661059343593
analysis_CTNN_N2_omega_0.5.json,2,0.5,1.2387981834992554,1.2387981834992554,0.9535318401478844,0.03952427019211666,0.004056998710865267,0.9971131090508664,4.0,4.0,0.9767523529266186,0.0,,0.037970647226226784,0.009954752106405507,0.003750306616531855,0.3418709246095208,1.2927168957730273,0.00028413452590067,0.5797822394880814,0.419933625985018,0.5280244305425325,1.059475142833538,1.2768909554218888,-0.3363871239905631,0.27123917445810114,0.44367352546832123
analysis_CTNN_N2_omega_1.0.json,2,1,1.523634121446164,1.523634121446164,0.8961962020603363,0.05284558055804928,0.04662941973476157,0.9956712023531472,3.0,4.0,0.9634024505162128,0.0,,0.08791556735332728,0.008907230585506576,0.004624307481049736,0.2601244719570296,0.578368533593165,0.00022520303805747822,0.34402705699715624,0.6557477399637862,0.15755764948159595,0.44396393447551735,0.6476724004102203,-0.8669281586684267,0.6585142637474193,0.8774332313996686
analysis_CTNN_N6_omega_0.001.json,6,0.001,1.4939788445788966,1.4939788445788966,0.9136841415787207,0.047297810288424086,0.017524696530639382,0.9785066483977841,8.0,8.0,0.9906734032488287,0.6792974990827746,,0.0,0.03074940610539545,56.54062107635867,125.41890395133547,8.005113909222231,0.00952090876306074,0.12809619140341172,0.8623828998325274,1.088038858805429,1.1079195494091978,1.1121999943876562,-0.08584371618865898,0.16500656702123057,0.17992305134593276
analysis_CTNN_N6_omega_0.01.json,6,0.01,1.3573100517688899,1.3573100517688899,0.9405930091543786,0.025258432143843743,0.018873394655435038,0.9847248359536573,8.0,12.0,0.9935891695590751,0.7698139726732758,,0.013195666471639944,0.023235323672574637,16.345143886777183,113.45170981411945,7.918191730528977,0.052694109950183386,0.4417573013349007,0.5055485887139158,1.256987758845369,1.2097003387931384,1.1488131271145314,-0.06345418960606147,0.12438259549269363,0.06613585318569204
analysis_CTNN_N6_omega_0.1.json,6,0.1,2.802109243304956,2.802109243304956,0.7209048169089981,0.10619224311856063,0.062287760419393136,0.8893848204469518,12.0,12.0,0.9428255853587686,0.4404177678177299,,0.005577072377392134,0.005594234591884906,25.55904418104182,21.306151509128952,9.08265279908238,0.6561965933794683,0.20672492963236377,0.13707847698716774,1.5322245833681656,1.5354536509128829,1.4492951241936003,-0.07918460255638124,0.23324727657882183,0.29955922083242503
analysis_CTNN_N6_omega_0.5.json,6,0.5,2.5768145502569864,2.5768145502569864,0.7650767288018234,0.07420311294938424,0.057884963040509343,0.897164804791717,8.0,12.0,0.9858527946459247,0.4894884697987236,,0.014518880538854972,0.011743238586863991,0.3182083561012667,12.646053675135025,6.196120963574791,0.1388292432953616,0.639280161837504,0.2218905948661345,1.002003144124319,1.0123625614075125,1.0643911267886943,-0.05902642852068728,0.29184207832986403,0.4668896197466581
analysis_CTNN_N6_omega_1.0.json,6,1,2.65377236168418,2.65377236168418,0.6660148590788427,0.16040387956530497,0.1430070208035748,0.9694257594477225,8.0,8.0,0.9712169945054235,0.39324875161720807,,0.03509500397103149,0.014874441511672165,0.2658724502182685,3.8869540188760654,2.8983544818504683,0.024877019930891975,0.6432747718108407,0.3318482082572675,1.0529097499032547,1.040672209127737,1.0691781163442295,-0.1608060884805804,0.4389910584107502,0.3093879391027772
analysis_CTNN_N12_omega_0.001.json,12,0.001,1.6694456481001854,1.6694456481001854,0.8521832695306946,0.1223842661565369,0.016791631783044353,0.9913591674702757,4.0,6.0,0.9950907028486394,0.8036954737136156,,0.0785015478977672,0.03429890746366726,99.17819785220212,39.8741163829567,39.75846530701419,0.5281873319915718,0.14454727602100217,0.32726539198642585,0.9893103075574519,0.9980987179393213,1.0041447015694205,-0.10717784754525615,0.19285119829430186,0.2561235318029932
analysis_CTNN_N12_omega_0.01.json,12,0.01,1.6483151817325432,1.6483151817325432,0.836617346377154,0.15196961298452352,0.0059688446301349425,0.9945558039918124,3.0,4.0,0.9930239756324251,0.8586986487393055,,0.01637353562121535,0.029008316552251556,54.44198424614416,101.10713836062766,14.807657173058388,0.43326627355997355,0.10862859631514225,0.45810513012388404,1.066156641493303,1.0803419560282985,1.0749373581514348,0.07328398780995812,-0.01735781602353091,0.08303620002798501
analysis_CTNN_N12_omega_0.1.json,12,0.1,2.510320400320832,2.510320400320832,0.7663492167914028,0.0948773686222519,0.04089831531823913,0.9021249007318939,12.0,12.0,0.9681415019242173,0.6899134326134337,,0.009269809028594422,0.025294817383805124,1.3000848109622225,182.60931116565808,11.752166789577013,0.0631147421571673,0.748413488090826,0.18847176975100674,1.0469707879443337,1.0624954983854606,1.0911347044357227,0.08066232621415306,0.04231104047368986,0.1535201439091898
analysis_CTNN_N12_omega_0.5.json,12,0.5,2.0511868036326124,2.0511868036326124,0.7957908464377242,0.13148419835932348,0.043190446192105506,0.9704654909891532,6.0,8.0,0.981552172219644,0.6421088664456969,,0.022700079334070145,0.016965219793650066,1.9656546516864681,87.54244743186226,6.015501103949724,0.10285374062721712,0.7557615358464217,0.1413847235253613,1.056270592481521,1.0355617143588753,1.030884567163148,0.038588989838635714,0.14446287476934408,0.08656926617588243
analysis_CTNN_N12_omega_1.0.json,12,1,2.133628478953388,2.133628478953388,0.8165790686884696,0.07785881395664276,0.04830237472519807,0.9427402573703104,12.0,12.0,0.9919254613209012,0.6784813260609699,,0.015198963805275523,0.025503987857875554,0.7963632622427511,32.54437253368249,1.5756646658581992,0.09943926808146139,0.7458004907038259,0.1547602412137125,0.9880087521188896,1.0112641559673552,1.00001341115843,-0.032833489033921553,0.22237795585397355,0.20825842944687156
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,3.002590300805827,3.002590300805827,0.6330479221885851,0.19399248454182902,0.10363030536923666,0.9306707120996508,6.0,6.0,0.968496179559553,0.724355588284084,,0.01293690059215069,0.062020286715946615,193.79120018114338,1221.8935735373777,136.7984486125882,0.46713151546345333,0.18573608657895782,0.34713239795658873,1.0163744654889015,1.0345081756070058,1.0137704082777708,0.680859642017862,-0.6570051958479003,0.6681343152147894
analysis_CTNN_N20_omega_0.001.json,20,0.001,3.002590300805827,3.002590300805827,0.6330479221885851,0.19399248454182902,0.10363030536923666,0.9306707120996508,6.0,6.0,0.968496179559553,0.724355588284084,,0.01293690059215069,0.062020286715946615,193.79120018114338,1221.8935735373777,136.7984486125882,0.46713151546345333,0.18573608657895782,0.34713239795658873,1.0163744654889015,1.0345081756070058,1.0137704082777708,0.680859642017862,-0.6570051958479003,0.6681343152147894
analysis_CTNN_N20_omega_0.01.json,20,0.01,1.8858401245051026,1.8858401245051026,0.8377184562264384,0.08947749961957448,0.04388854505291132,0.9710845008989242,6.0,6.0,0.9935387274122608,0.8346374759699662,,0.009968492167581222,0.030383470791532696,78.90285703173822,1221.9855674546616,18.423849975810413,0.44408734024633084,0.29435437483976296,0.26155828491290606,1.0491139792958468,1.0404811544400516,1.0307382861530014,0.12501124364155944,-0.15755176872806517,0.12928659622320565
