file,N,omega,idx,std,w_eff,importance
analysis_CTNN_N2_omega_0.001.json,2,0.001,0,0.20799751242411121,0.2642650079409822,0.05496646427246229
analysis_CTNN_N2_omega_0.001.json,2,0.001,1,0.06755133100536992,0.35388375995716176,0.023905319006291108
analysis_CTNN_N2_omega_0.001.json,2,0.001,2,0.11464060471338668,0.6220067390645408,0.07130722870216068
analysis_CTNN_N2_omega_0.001.json,2,0.001,3,0.06935447699630072,1.0858338469044755,0.07530743855694116
analysis_CTNN_N2_omega_0.001.json,2,0.001,4,0.15200939643505196,0.45544456956665114,0.06923185412944867
analysis_CTNN_N2_omega_0.001.json,2,0.001,5,67.06427192543579,0.16060118075040464,10.770601257391201
analysis_CTNN_N2_omega_0.001.json,2,0.001,6,69.17284354370163,0.23001164116114148,15.910559267269681
analysis_CTNN_N2_omega_0.001.json,2,0.001,7,61.25291956591524,0.17457348968846667,10.693135922228782
analysis_CTNN_N2_omega_0.001.json,2,0.001,8,63.19753269277783,0.4555829092503014,28.791715801616757
analysis_CTNN_N2_omega_0.001.json,2,0.001,9,73.20982491283276,0.15565984629191018,11.395830092989204
analysis_CTNN_N2_omega_0.001.json,2,0.001,10,0.8146123685417923,0.03823387189730486,0.03114578494478698
analysis_CTNN_N2_omega_0.001.json,2,0.001,11,0.0629004047127379,1.017680860581128,0.06401253799896035
analysis_CTNN_N2_omega_0.01.json,2,0.01,0,0.24946850912245824,0.2093774859424431,0.05223308926186974
analysis_CTNN_N2_omega_0.01.json,2,0.01,1,0.056774922673345406,0.14331740485161376,0.00813683457819491
analysis_CTNN_N2_omega_0.01.json,2,0.01,2,0.052519641164197516,0.37859827595643536,0.019883845598615814
analysis_CTNN_N2_omega_0.01.json,2,0.01,3,0.0762465536853918,0.23172307942023646,0.017668086215159366
analysis_CTNN_N2_omega_0.01.json,2,0.01,4,0.29816063388913405,0.12839909378825395,0.03828355519469617
analysis_CTNN_N2_omega_0.01.json,2,0.01,5,41.71805574497217,0.018180346990997208,0.7584487292333586
analysis_CTNN_N2_omega_0.01.json,2,0.01,6,39.08715067912542,0.2315704909190801,9.05143067139313
analysis_CTNN_N2_omega_0.01.json,2,0.01,7,37.59738242590455,0.026411354541298566,0.992997797075353
analysis_CTNN_N2_omega_0.01.json,2,0.01,8,30.844155784068626,0.18868791566324844,5.819919465288438
analysis_CTNN_N2_omega_0.01.json,2,0.01,9,39.06484081824053,0.11270828756613893,4.402931312667696
analysis_CTNN_N2_omega_0.01.json,2,0.01,10,0.6276369669176858,0.1591881914018634,0.09991239362057758
analysis_CTNN_N2_omega_0.01.json,2,0.01,11,0.2576008523605132,0.13322350713046477,0.034318488991264634
analysis_CTNN_N2_omega_0.1.json,2,0.1,0,0.012154033892983949,0.1787102037206674,0.0021720498730430577
analysis_CTNN_N2_omega_0.1.json,2,0.1,1,0.0236303539498929,0.373594254260062,0.008828164461811549
analysis_CTNN_N2_omega_0.1.json,2,0.1,2,0.011968782171772595,0.28227124101461565,0.003378442997059857
analysis_CTNN_N2_omega_0.1.json,2,0.1,3,0.0281565483273632,0.39108841651575094,0.01101169989989769
analysis_CTNN_N2_omega_0.1.json,2,0.1,4,0.0475513694859624,0.125605708196878,0.005972723440015722
