step,E_raw,E_clip,stderr,var
62,3.0013944,2.9984802,0.0031515077,0.012394263
88,3.0005033,3.0007109,0.0014147897,0.0024618025
126,2.9998341,3.0052329,0.00082519385,0.00094033387
179,2.9995633,3.0022216,0.00084519726,0.00047379516
254,3.0004986,3.0015041,0.0005561693,0.00027900602
362,2.9997256,2.9994996,0.00035459975,9.0632391e-05
514,2.9999588,2.9990977,0.00032603347,7.9344965e-05
732,3.0005594,2.9993918,0.00022167832,5.5156952e-05
1041,2.9993158,2.9988155,0.00017244205,5.1140741e-05
1482,2.9998991,2.999415,0.00014906093,3.7885119e-05
2108,3.0003803,3.0003215,0.00015481033,2.2179158e-05
3000,2.9997751,2.9999502,9.4905964e-05,1.3110085e-05
3500,2.9999965,3.0000854,3.7553956e-05,7.7034314e-06
