step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
62,0.9999247,0.28004861,9.5347542e+11,3.9670174,636
88,0.9998819,0.21747654,9.7942949e+11,4.0040738,621
126,0.99996354,0.24418205,9.73423e+11,3.9679449,627
179,0.99994561,0.22179103,9.8457832e+11,4.0186898,642
254,0.99995944,0.16455755,9.7231174e+11,4.1356052,647
362,0.99973819,0.13803598,9.6749406e+11,3.8151925,651
514,0.99988427,0.086590326,9.8786931e+11,4.1447303,665
732,0.99987704,0.11487608,9.7166377e+11,4.2496864,666
1041,0.99961661,0.04337088,9.9261628e+11,3.9736617,657
1482,0.99953146,0.13717662,9.6988742e+11,4.1321319,649
2108,0.99877131,0.28357775,9.9154392e+11,4.0597152,642
3000,0.99869715,0.054251102,9.898594e+11,4.2403228,646
3500,0.99571527,0.05033043,9.9602201e+11,4.2851907,832
