step,E_raw,E_clip,stderr,var
31,-1.3144024e+25,-1.3144024e+25,7.787718e+22,2.7750902e+48
78,-5.0183765e+53,-5.0183765e+53,5.6239433e+51,5.2435102e+105
198,-6.2133316e+82,-6.2133316e+82,5.1050582e+80,7.0540112e+163
500,-1.7788731e+103,-1.7788731e+103,1.5354002e+101,5.9515915e+204
820,-3.1041467e+103,-3.1041467e+103,6.3060128e+101,2.2515622e+205
