ansatz,N,omega,ell,dx_mean_mag,dx_std_mag,dx_max_mag,dx_mean_over_ell,dx_effective_rank,bf_head_delta_mae,com_shift_mean,com_shift_max,dx_up_mean,dx_dn_mean,spin_asymmetry,cka_nobf_vs_bf,eff_rank_noBF,eff_rank_BF,rank_change,pc1_alignment_cos,nf_share_q01,nf_conc_q01,nf_share_q05,nf_conc_q05,nf_share_q10,nf_conc_q10,radial_fraction,radial_proj_mean,tangential_mag_mean,dx_sv_1,dx_sv_2,dx_sv_3,dx_sv_4,dx_sv_5,dx_sv_6,dx_sv_ratio_1_2
bf,12,0.001,31.622776601683796,8.5401890588541,6.11749745952454,57.44385277067954,0.27006449074428734,12.873997933041563,2.0172080150201284,2.908161313968099e-15,1.3080335057683664e-14,8.578221410124334,8.502156707583868,0.008906676657421873,0.9788314700126648,3.1925515705283964,3.210173219340562,0.017621648812165436,0.9999962265036061,0.008491121810532597,0.8491121810532597,0.04600729780707267,0.9201459561414533,0.0930069585319083,0.9300695853190829,0.4990942946312203,5.427919287725233,5.447619355199767,1019.9058369604742,1016.5049331138518,1011.4718663238735,1008.1376840937032,1001.5640641078912,998.2802375807794,1.0033456835631918
bf,12,0.01,10.0,0.7827231049872445,0.3537770926927347,3.5476835658645944,0.07827231049872445,21.11500170308893,0.19108667549372563,1.621740334672898e-16,6.530593285251741e-16,0.7837855345683398,0.781660675406149,0.0027147009570202573,0.9962518811225891,3.4379434339585053,3.4347698961476207,-0.0031735378108845858,0.9999460276651666,0.013168552295707882,1.3168552295707883,0.05409136296131623,1.0818272592263245,0.10314033089376382,1.031403308937638,0.501669227511341,0.4997752684536259,0.49644941714825747,74.11504931968592,73.30921238578503,72.44952071543094,72.10054799847197,71.79800386172874,71.11356041792443,1.0109923010720703
bf,12,0.1,3.162277660168379,0.7487607220050365,0.33334680814855905,2.3876865796425952,0.23677893040080733,21.969803420947034,1.3746949131399226,2.6657278673698305e-17,1.1188630228279524e-16,0.7490212583748705,0.7485001856352025,0.0006959135600392182,0.9885382652282715,6.188519179427506,5.774121778173795,-0.4143974012537113,0.9941495886247298,0.010458635284518764,1.0458635284518762,0.05302014928282974,1.0604029856565949,0.10613257356774058,1.0613257356774057,0.6996187141094539,0.6479378320283062,0.2781920998347472,57.91388519700419,57.646463404249815,57.221099786317005,57.02608676472023,56.69510351003869,56.571788716336144,1.004638997380968
bf,12,0.5,1.414213562373095,0.13764609443132328,0.07271001880427731,0.6122934552614553,0.09733048677623257,21.989788196946403,0.9529831328772731,5.045266254258535e-18,2.132448027717043e-17,0.1382482327135328,0.13704395614911374,0.00874907907408809,0.9927737712860107,4.427775861000942,4.449299989327445,0.021524128326502634,0.9995995173301607,0.009039880185799883,0.9039880185799882,0.04884670091808134,0.9769340183616267,0.09828160371659957,0.9828160371659956,0.4963660892410787,0.08679084413270528,0.08806164078503771,10.916709496801632,10.854493638928252,10.832389711931565,10.767249636464102,10.707011743930234,10.655800628830342,1.0057318065626064
bf,12,1.0,1.0,0.08115206639782832,0.042261559830492755,0.35409304120647006,0.08115206639782832,21.96720462366129,0.5015632598359423,3.180164217224019e-18,1.4069214613467206e-17,0.08107408525124314,0.08123004754441351,0.0019218523950555388,0.9974616169929504,5.429158514780712,5.418343949030002,-0.010814565750710159,0.999914607218587,0.010063287258174762,1.0063287258174762,0.05056917584737773,1.0113835169475545,0.10048433570180727,1.0048433570180726,0.4757167167829081,0.04900456353964694,0.05400750606145045,6.593114778964902,6.584922241824578,6.527052355354584,6.50587116266078,6.435419229879854,6.3744686558676085,1.001244135745186
bf,2,0.01,10.0,0.41495378584781073,0.10779412663155051,0.8969431818365292,0.04149537858478107,1.992871615333626,0.0740701932827911,3.566475730153252e-17,2.3551386880256624e-16,0.4149537858478107,0.41495378584781073,1.3377670749006543e-16,0.9997751116752625,1.955747374135976,1.9555608118534145,-0.00018656228256164198,0.9998258293806792,0.0014775315475583984,0.14775315475583983,0.012741410790975937,0.25482821581951876,0.03238727950471937,0.3238727950471937,0.5572889624914726,0.3070969623259248,0.2439582047331631,41.93030601926058,35.39943718110704,5.470004020360865e-15,4.2119829227996844e-15,,,1.1844907534755698
bf,2,0.1,3.162277660168379,0.00046563671374737735,0.00031808482271677415,0.0019487024793589526,0.000147247257763755,1.9969643259715761,0.00017106167120513273,2.717665489424544e-20,2.168404344971009e-19,0.00046563671374737735,0.0004656367137473773,1.164214655412372e-16,1.0000001192092896,1.997976531671405,1.9980240619166973,4.753024529224881e-05,0.999999995348145,3.839273610211691e-05,0.003839273610211691,0.000905991110417839,0.01811982220835678,0.003502970847480623,0.03502970847480623,0.7388321839130173,0.00041954993383139553,0.00014830558595474626,0.05376844165363022,0.04815221429649921,6.0948747865788895e-18,3.110034596060626e-18,,,1.116634872127559
bf,2,0.5,1.414213562373095,0.00320550268932399,0.004092853157910282,0.03023353322519713,0.0022666326887327086,1.9999651435729824,0.001466264892880463,6.724388642306265e-20,1.939479807224432e-18,0.00320550268932399,0.00320550268932399,0.0,0.9999716281890869,2.542525227767353,2.5405193819538514,-0.0020058458135014945,0.9999964996467599,6.3094682497357335e-06,0.0006309468249735734,7.165945226081091e-05,0.0014331890452162182,0.00034598059405427985,0.0034598059405427984,0.6691205878293327,0.0026679561146563816,0.0013193014338084205,0.4732703796858468,0.46771485764960996,1.3181053228844742e-16,6.63641613642383e-17,,,1.0118780105984975
bf,2,1.0,1.0,0.0026343348985687206,0.0014647949002364066,0.005942630850270326,0.0026343348985687206,1.9920097984866376,0.0018445976306868,1.628159487036453e-20,4.655939096261228e-19,0.0026343348985687206,0.0026343348985687206,0.0,0.9999898672103882,2.212470348231529,2.213647451241686,0.0011771030101570545,0.9999999880260135,4.162534381999064e-05,0.004162534381999064,0.0003322039050221019,0.006644078100442038,0.0004648878310348108,0.004648878310348108,0.663514881810573,0.0021910215459722887,0.0011111222431660235,0.2959889913254408,0.2474003900667825,4.6342499850994385e-17,1.1166848570612286e-17,,,1.1963966234877095
bf,6,0.001,31.622776601683796,30.024464397102186,26.523267088616905,227.4928533756333,0.9494569302147711,6.016902578976505,7.775638476427552,1.1628206156737126e-14,4.8623205704142674e-14,29.96179027487553,30.087138519328853,0.004174870292288112,0.45242977142333984,3.782665752259701,4.372963615175666,0.5902978629159654,0.9913248198417528,0.01061318375701412,1.061318375701412,0.04943012887280448,0.9886025774560895,0.09505089988266728,0.9505089988266727,0.5568596076051658,21.279983103303366,16.934286369069042,4166.051852278688,3962.022559408476,3934.950387440655,3927.436839566538,3838.491952213919,195.1774310875327,1.0514962471341085
