N,omega,bf_E,bf_E_stderr,bf_rel_err,bf_Gamma,bf_delta_E_BF,bf_dx_mean,bf_dx_rank,bf_cka,bf_corr_rank,bf_lindemann,ctnn_E,ctnn_E_stderr,ctnn_rel_err,ctnn_Gamma,ctnn_delta_E_BF,ctnn_dx_mean,ctnn_dx_rank,ctnn_cka,ctnn_corr_rank,ctnn_lindemann,E_diff_bf_minus_ctnn,E_diff_pct,ctnn_better,dx_ratio_bf_over_ctnn
2,0.01,0.07389634348527979,3.7979519719050207e-06,0.07630482838541297,3.9037648230474233,6.061426794634617e-05,0.41495378584781073,1.992871615333626,0.9997751116752625,1.2260242098754786,0.2559233328204816,0.07394275050045418,6.375701559378404e-05,0.13915289877326215,3.9097304956861016,9.398553428310863e-05,3.978659599421954e-17,1.0123214673086216,1.0,1.0373857056628344,0.2588907508402087,-4.6407015174387833e-05,-0.06276073700301801,False,1.042948700381651e+16
2,0.1,0.44075116527158725,1.5207554589829505e-05,0.008810256224678905,1.8779037536367789,-1.2564061767972312e-05,0.00046563671374737735,1.9969643259715761,1.0000001192092896,1.2632494861781223,0.34621612952485153,0.4407977395757995,1.1341778867812956e-05,0.0017558419654416539,1.8760943480146413,8.193297825309642e-06,1.4514365876711568e-07,1.0477848205478293,0.9999998211860657,1.308462719575378,0.342773373119126,-4.657430421223241e-05,-0.010565912669391877,True,3208.10924640184
2,0.5,1.7002972657261257,0.0010008702701090025,2.4417398631211404,1.4608088478452033,0.0030089692326999984,0.00320550268932399,1.9999651435729824,0.9999716281890869,1.3265269352135105,0.47090904837648906,1.659818572806101,2.6149522735740883e-05,0.0029264781325752214,1.1579842977273815,0.0001989759203517849,1.0855436483648895e-07,1.7121640539345209,1.0,1.2483485513996138,0.406271932486549,0.040478692920024706,2.4387420157367647,True,29529.007830798044
2,1.0,2.9999359438771247,6.862070030938765e-05,0.002135204095843335,0.912430915893655,-0.00030839080165101507,0.0026343348985687206,1.9920097984866376,0.9999898672103882,1.26297213936395,0.4332507900147637,3.0000165238965915,6.871001490133357e-05,0.0005507965530486084,0.9159707627339355,-0.00034387971273197593,0.028999046562662147,1.9997637044245091,0.9999392032623291,1.5270447832938887,0.43026743041282645,-8.05800194667583e-05,-0.002685985854574441,True,0.09084212106340663
6,0.001,0.1660274755510657,1.900274952383728e-05,83.39725244489344,11.501357062462716,0.025048089069367785,30.024464397102186,6.016902578976505,0.45242977142333984,1.4232996350413114,0.37259242481477994,,,,,,0.5273643408904897,9.965319917902466,0.9991610646247864,1.520773219388642,0.33258901104923766,,,,56.933057601892244
6,0.01,0.6913920380443602,3.103061633947874e-05,13.575995244454976,12.341766430016541,-0.00023192053402787405,0.17697148744268698,9.258337810865829,0.9996222853660583,1.2288358272075262,0.3383777659539058,0.6902525319520265,1.701656125985475e-05,13.718433505996689,12.774726644022078,-0.0014619446491439536,0.3515469543258992,9.889004638218443,0.997933030128479,1.3800879086204763,0.33906992497502886,0.0011395060923337086,0.16508539115549464,False,0.5034078243745124
6,0.1,3.557642176987006,0.000286875790593078,0.10670616337227894,5.852863946175748,-0.027591914882401092,0.47796492405143437,9.982614143564785,0.9938756227493286,1.7011262556602529,0.37412324837428984,3.5537947060230612,0.0001318004637440221,0.001555889442124188,5.895245278801082,-0.01434072768176975,0.303548632127994,9.972171413879693,0.9945898056030273,2.729192266352312,0.3741446123302919,0.003847470963944666,0.1082637372784611,True,1.5745909335868666
6,0.5,11.793761501393076,0.0007180789620015054,0.07570320337887879,3.241015536886272,-0.1267330261441355,0.17298347850216422,9.994034804760817,0.9922528266906738,3.0488717381878736,0.4009919005690751,11.78260624175465,0.0004105885785763722,0.018954506343330284,3.241593363128008,-0.06491274749471287,0.13202413187660314,9.994234189732286,0.9910648465156555,2.6915924290837916,0.3997417529790021,0.011155259638426784,0.09467565502524643,True,1.3102413630247831
6,1.0,20.20213848862869,0.001525410040244012,0.2124004610705618,2.327403617442137,-0.4204240190703743,0.19511074690306876,9.907170814636338,0.9988203644752502,1.3834742119765033,0.4109026819297149,20.158298808967892,0.0006736210086000957,0.005065602570468443,2.3993147178590237,-0.14304518858140014,0.08867179075369203,9.984286682065749,0.9788234829902649,2.685060800915454,0.40947038476958003,0.043839679660798936,0.21747708016559328,True,2.200369985140341
12,0.001,,,,,,8.5401890588541,12.873997933041563,0.9788314700126648,1.543503110770464,0.43424753748531847,0.5158321142639193,2.6277353549922173e-05,48.41678857360807,44.51808165006605,-0.0006402530900569969,0.5330623837872801,21.89717859315506,0.9997825622558594,1.659563313654738,0.4333803959440898,,,,16.020993637138883
