ansatz,N,omega,effective_rank,pca_eff_rank,head_corr_pc1,pc1_phi_power,pc1_psi_power,pc1_extras_power,branch_abl_phi,branch_abl_psi,branch_abl_extras,cusp_mean_out,cusp_mean_cusp,cusp_mean_base,pca_expvar_1,pca_expvar_2,pca_expvar_3,pca_expvar_4,pca_expvar_5,pca_expvar_6,pca_expvar_7,pca_expvar_8
bf,12,0.001,1.543503110770464,1.543503110770464,0.9697323432639395,0.5174032064862092,0.1324482436894408,0.3501485498243513,106.72944488114715,57.62355542375473,41.872845802737714,419.6163105268165,3.9705354074316332,415.6457751193849,0.8749772466596004,0.11196643908308801,0.006412226300295374,0.0042611938190622745,0.0014239722263341612,0.0008520396002096101,8.296173065640274e-05,2.03610884703093e-05
bf,12,0.01,1.729187388563623,1.729187388563623,0.9683916470195749,0.501932603166072,0.05582888017967036,0.4422385166542596,71.15205542248535,281.0088721146709,3.995753711871372,326.7983653029189,3.7557216090752763,323.0426436938436,0.8167305974689542,0.16810042475542683,0.0067830710899387395,0.005025890539949223,0.0023982867220101144,0.0005117013838889815,0.0003626001679258654,7.256316022255911e-05
bf,12,0.1,2.8356978414918146,2.8356978414918146,0.9771129760859407,0.07950460892402425,0.6310115981634724,0.2894837929125056,3.366808407124834,146.42943377666865,7.96256992856674,191.6369725700413,6.421000362694864,185.21597220734645,0.7259172137022528,0.09288734487930891,0.05876915492708578,0.04665545249378569,0.03768223116401661,0.02321063349617964,0.013432616157270955,0.0009267437896716253
bf,12,0.5,1.9475198218210643,1.9475198218210643,0.9933068147023101,0.1084291059958773,0.7064199739827359,0.18515092002138855,2.4698288667108836,84.92847013752854,4.650889731400506,90.16468871547545,8.480570114485378,81.68411860099006,0.8177440440909793,0.1242479795461632,0.023726630472301665,0.01693282426546438,0.009581865342190589,0.007054674317440491,0.000574828665689007,9.655391231246949e-05
bf,12,1.0,1.9895429206367308,1.9895429206367308,0.9888590872199412,0.09976975955793818,0.714275397511879,0.18595484293018616,1.6460811867143867,36.83454477504074,0.2668729597547621,55.21940912755838,9.290133002870533,45.929276124687846,0.843857890371508,0.048434155975978034,0.042637366247095014,0.03407608784333223,0.013050734196142675,0.00993682082311282,0.0046429691666108825,0.002692911790111377
bf,2,0.01,1.2260242098754786,1.2260242098754786,-0.9874653466669148,0.0003928393698638356,0.9916038814142225,0.008003279215914873,0.36422142125188073,7.143636031935793,0.23815765351764134,6.138259028416729,0.17761955182072153,5.960639476596007,0.9512317174034168,0.04664134496626705,0.002102949205055935,1.2188190050425139e-05,5.717833405795197e-06,3.622527170870049e-06,2.0881340844397227e-06,1.6670205336513164e-07
bf,2,0.1,1.2632494861781223,1.2632494861781223,-0.9923256172553642,0.0036773776788919734,0.6150593597891892,0.381263262531922,0.7511402020840656,0.5378717147336127,2.274752304404161,4.141226432679649,0.2513364338462842,3.889889998833365,0.9394673601898512,0.059615700139475127,0.0007746861296961362,0.00010598329392311579,2.845228065949907e-05,3.685451164912595e-06,2.717728391779308e-06,7.108963984942386e-07
bf,2,0.5,1.3265269352135105,1.3265269352135105,0.9770058045208294,0.00022261509072247723,0.24362379249445412,0.7561535924148268,0.009801796106705167,0.15602348435662888,0.5048505793293175,0.8264231243805669,0.29782466162254373,0.5285984627580231,0.9313264859886471,0.05978220709971029,0.006475881395151286,0.0022729755317206146,8.154575760153862e-05,3.162422447583539e-05,2.0920976658432272e-05,6.605704229748899e-06
bf,2,1.0,1.26297213936395,1.26297213936395,0.9856852871339136,1.3943867969066258e-05,0.36785773182729165,0.6321283243047396,0.003590778485249078,0.2901463110775326,0.5877737739002316,0.9456858888056499,0.29389090797720946,0.6517949808284405,0.9437445604065016,0.051748942351688955,0.004236184880575366,0.00021072004177220596,2.752905867607569e-05,2.240851438434343e-05,7.415810424676598e-06,1.426253751313386e-06
bf,6,0.001,1.4232996350413114,1.4232996350413114,0.9330443881792098,0.009054456782598388,0.08321365484526812,0.9077318883721365,58.04223904864196,126.531732926979,7.707636973876864,106.90553296751915,0.6698764267658295,106.23565654075333,0.9277347349435474,0.035900706395312405,0.017949183356763782,0.010986953203516723,0.005770734063866847,0.0009118968903758237,0.0003865532095025573,0.0003003856082371493
