ansatz,N,omega,ell,log_omega,E,E_per_particle,rel_err,T_frac,Gamma,virial,BF_improvement_pct,dx_mean,dx_over_ell,dx_rank,cka_nobf_bf,r_mode,r_mode_over_ell,lindemann,r_s_gr,corr_rank
bf,12,0.001,31.622776601683796,-3.0,,,,,,,,8.5401890588541,0.27006449074428734,12.873997933041563,0.9788314700126648,118.81307397654615,3.7571992957196487,0.43424753748531847,0.16787710241710557,1.543503110770464
bf,12,0.01,10.0,-2.0,,,,,,,,0.7827231049872445,0.07827231049872445,21.11500170308893,0.9962518811225891,40.021086301590906,4.002108630159091,0.40164284080136275,25.61186969623223,1.729187388563623
bf,12,0.1,3.162277660168379,-1.0,,,,,,,,0.7487607220050365,0.23677893040080733,21.969803420947034,0.9885382652282715,9.507779444581097,3.0066238535406926,0.41348755032787243,5.91953230608859,2.8356978414918146
bf,12,0.5,1.414213562373095,-0.3010299956639812,,,,,,,,0.13764609443132328,0.09733048677623257,21.989788196946403,0.9927737712860107,3.2542715340884674,2.3011174695763046,0.425685456194004,2.433427546610192,1.9475198218210643
bf,12,1.0,1.0,0.0,,,,,,,,0.08115206639782832,0.08115206639782832,21.96720462366129,0.9974616169929504,2.049201437293453,2.049201437293453,0.4306562785759163,0.006137219219558253,1.9895429206367308
bf,2,0.01,10.0,-2.0,0.07389634348527979,0.036948171742639896,0.07630482838541297,0.13104970558728157,3.9037648230474233,1.397075775921174,-0.08209341004533148,0.41495378584781073,0.04149537858478107,1.992871615333626,0.9997751116752625,16.73775728156319,1.673775728156319,0.2559233328204816,24.523912952146254,1.2260242098754786
bf,2,0.1,3.162277660168379,-1.0,0.44075116527158725,0.22037558263579363,0.008810256224678905,0.20833479240837036,1.8779037536367789,2.0470299670976297,0.002850520796476416,0.00046563671374737735,0.000147247257763755,1.9969643259715761,1.0000001192092896,3.4303310594713867,1.0847659276348096,0.34621612952485153,4.036377097109681,1.2632494861781223
bf,2,0.5,1.414213562373095,-0.3010299956639812,1.7002972657261257,0.8501486328630629,2.4417398631211404,0.25948952956306104,1.4608088478452033,1.907041011226428,-0.17728097453546857,0.00320550268932399,0.0022666326887327086,1.9999651435729824,0.9999716281890869,1.148185866176278,0.811890012035796,0.47090904837648906,0.031820669450418636,1.3265269352135105
bf,2,1.0,1.0,0.0,2.9999359438771247,1.4999679719385623,0.002135204095843335,0.2991939470533498,0.912430915893655,3.1342267452093413,0.010278856228022284,0.0026343348985687206,0.0026343348985687206,1.9920097984866376,0.9999898672103882,0.7789463382856769,0.7789463382856769,0.4332507900147637,0.0082947046755221,1.26297213936395
bf,6,0.001,31.622776601683796,-3.0,0.1660274755510657,0.027671245925177616,83.39725244489344,0.04332450192739646,11.501357062462716,1.8398298620390408,-17.76719965554649,30.024464397102186,0.9494569302147711,6.016902578976505,0.45242977142333984,112.39313167194622,3.5541828944255864,0.37259242481477994,94.99322517807533,1.4232996350413114
bf,6,0.01,10.0,-2.0,0.6913920380443602,0.11523200634072671,13.575995244454976,0.048881854923132566,12.341766430016541,1.1531124686641279,0.03353275015292698,0.17697148744268698,0.017697148744268698,9.258337810865829,0.9996222853660583,30.295227525412894,3.0295227525412893,0.3383777659539058,28.557840168624587,1.2288358272075262
bf,6,0.1,3.162277660168379,-1.0,3.557642176987006,0.5929403628311677,0.10670616337227894,0.09253457388364565,5.852863946175748,1.3511018316711418,0.7695986977523736,0.47796492405143437,0.1511457801671927,9.982614143564785,0.9938756227493286,6.509339214053458,2.058433797905925,0.37412324837428984,6.686708436234008,1.7011262556602529
bf,6,0.5,1.414213562373095,-0.3010299956639812,11.793761501393076,1.965626916898846,0.07570320337887879,0.14526646497213463,3.241015536886272,1.6308997500189948,1.0631524208276173,0.17298347850216422,0.12231779068211769,9.994034804760817,0.9922528266906738,2.3343045454681777,1.6506025734551302,0.4009919005690751,2.076515762131417,3.0488717381878736
bf,6,1.0,1.0,0.0,20.20213848862869,3.367023081438115,0.2124004610705618,0.1829485029024799,2.327403617442137,1.8377692682206233,2.0386604182356898,0.19511074690306876,0.19511074690306876,9.907170814636338,0.9988203644752502,1.41324597739291,1.41324597739291,0.4109026819297149,0.008721946557752007,1.3834742119765033
ctnn,12,0.001,31.622776601683796,-3.0,0.5158321142639193,0.042986009521993274,48.41678857360807,0.014572847987462318,44.51808165006605,1.0379011881509548,0.12396657217833006,0.5330623837872801,0.016856912677266186,21.89717859315506,0.9997825622558594,116.5592020290073,3.6859256066338255,0.4333803959440898,2.5010322868226167,1.659563313654738
ctnn,12,0.01,10.0,-2.0,2.4741267955482877,0.20617723296235732,23.706339777414385,0.029638856965112623,21.147177546772642,1.0963463268756164,0.17931159080043188,0.2959962995517606,0.02959962995517606,21.913939405878985,0.9979024529457092,43.305997972569926,4.330599797256992,0.4007716510369237,30.223845534964905,1.5397827416762104
