ansatz,N,omega,ell,E_mean,E_std,E_stderr,E_DMC,rel_error_pct,T_mean,V_int_mean,V_trap_mean,Gamma_Vint_over_T,virial_2Vt_over_Vi,accept_rate,E_noBF_mean,E_noBF_std,delta_E_BF,E_per_particle,T_fraction,V_int_fraction,V_trap_fraction,BF_improvement_pct
bf,2,0.01,10.0,0.07389634348527979,0.0012010178675147692,3.7979519719050207e-06,0.07384,0.07630482838541297,0.00968409405772255,0.03780442572561987,0.026407823701937387,3.9037648230474233,1.397075775921174,0.7287357080035181,0.07383572921733345,0.0005160863944988157,6.061426794634617e-05,0.036948171742639896,0.13104970558728157,0.5115872307423511,0.35736306367036746,-0.08209341004533148
bf,2,0.1,3.162277660168379,0.44075116527158725,0.004809051014520895,1.5207554589829505e-05,0.44079,0.008810256224678905,0.09182380252060346,0.17243626342664356,0.1764910993243402,1.8779037536367789,2.0470299670976297,0.7325758575197889,0.4407637293333552,0.005819351851267108,-1.2564061767972312e-05,0.22037558263579363,0.20833479240837036,0.39123268867681776,0.4004325189148118,0.002850520796476416
bf,2,0.5,1.414213562373095,1.7002972657261257,0.31650296958923907,0.0010008702701090025,1.65977,2.4417398631211404,0.44120933760063136,0.6445225041189236,0.6145654240065709,1.4608088478452033,1.907041011226428,0.7328957783641161,1.6972882964934257,0.3138558846165677,0.0030089692326999984,0.8501486328630629,0.25948952956306104,0.379064600708909,0.36144586972803,-0.17728097453546857
bf,2,1.0,1.0,2.9999359438771247,0.021699770761348595,6.862070030938765e-05,3.0,0.002135204095843335,0.8975626759558133,0.8189639344943226,1.2834093334269885,0.912430915893655,3.1342267452093413,0.7330925681618293,3.0002443346787757,0.017449625400003305,-0.00030839080165101507,1.4999679719385623,0.2991939470533498,0.27299380713972565,0.4278122458069245,0.010278856228022284
bf,6,0.001,31.622776601683796,0.1660274755510657,0.006009197030100595,1.900274952383728e-05,1,83.39725244489344,0.007193057684512914,0.08272992480047432,0.07610449306607844,11.501357062462716,1.8398298620390408,0.5363192612137203,0.14097938648169792,0.0012330516222087476,0.025048089069367785,0.027671245925177616,0.04332450192739646,0.49829056622034085,0.4583849318522626,-17.76719965554649
bf,6,0.01,10.0,0.6913920380443602,0.009812742483158953,3.103061633947874e-05,0.8,13.575995244454976,0.03379652529869337,0.41710882138261857,0.240486691363048,12.341766430016541,1.1531124686641279,0.6201440193491645,0.6916239585783881,0.009793147144619024,-0.00023192053402787405,0.11523200634072671,0.048881854923132566,0.6032884361272562,0.34782970894961074,0.03353275015292698
bf,6,0.1,3.162277660168379,3.557642176987006,0.09071809038356328,0.000286875790593078,3.55385,0.10670616337227894,0.32920490287797805,1.9267915069588064,1.3016457671502215,5.852863946175748,1.3511018316711418,0.6260103342128408,3.585234091869407,0.13110161693967218,-0.027591914882401092,0.5929403628311677,0.09253457388364565,0.5415922712583255,0.3658731548580288,0.7695986977523736
bf,6,0.5,1.414213562373095,11.793761501393076,0.22707650597742593,0.0007180789620015054,11.78484,0.07570320337887879,1.7132380420318272,5.552631112609768,4.527892346751481,3.241015536886272,1.6308997500189948,0.625603562005277,11.920494527537212,0.6762593495842467,-0.1267330261441355,1.965626916898846,0.14526646497213463,0.47081086996323374,0.38392266506463163,1.0631524208276173
bf,6,1.0,1.0,20.20213848862869,0.4823770092860188,0.001525410040244012,20.15932,0.2124004610705618,3.695950991923187,8.601969708490879,7.904217788214625,2.327403617442137,1.8377692682206233,0.6191897537379067,20.622562507699065,1.2350425581015172,-0.4204240190703743,3.367023081438115,0.1829485029024799,0.42579500746085497,0.39125648963666515,2.0386604182356898
ctnn,12,0.001,31.622776601683796,0.5158321142639193,0.004551371143691561,2.6277353549922173e-05,1,48.41678857360807,0.007517142988219389,0.33464878532477227,0.17366618595092748,44.51808165006605,1.0379011881509548,0.5292947702060222,0.5164723673539763,0.011506378884297978,-0.0006402530900569969,0.042986009521993274,0.014572847987462318,0.6487552365798482,0.33667191543268915,0.12396657217833006
