omega,reff_feature,intrinsic_dim,deff_tangent,backflow_rank,feature_dim
1.0,1.0715213574989364,7.667134155988743,1.21335581163097,9.956617456699977,162
0.1,1.0569817284774763,6.149018372195448,1.8078381855309738,10.010773265308767,162
0.01,1.0966340254724924,6.610993497009343,3.7051616073454143,1.0,162
