N,omega,S,occ,pt,used_key,drop_right,L2,cos_fit,cos_comb,cos_fit_vs_comb,KL_fit,JS_fit,pair_types,w_fit,w_comb
6,0.001,2,"(1, 5)",../results/tables/6/omega_0.00100/20251230_143725/gr_N6_run_omega_0.00100.pt,samples_X_bohr,6.666666666710341e-06,2.6069092739597632e-05,0.9999999833056561,0.9999999999973166,0.9999999828796593,2.0320234601616124e-08,5.08003532698591e-09,"00,01,11","0.000266,0.333422,0.666312","0.000000,0.333333,0.666667"
12,0.001,2,"(3, 9)",../results/tables/12/omega_0.00100/20251230_182838/gr_N20_run_omega_0.00100.pt,samples_X_bohr,7.087267652750029e-06,9.435955776588346e-11,1.0000000000000002,0.9999999999962376,0.999999999996235,7.11359739610936e-17,-3.608044850523116e-18,"00,01,11","0.045455,0.409094,0.545451","0.045455,0.409091,0.545455"
20,0.001,3,"(1, 7, 12)",../results/tables/20/omega_0.00100/20260102_172150/gr_N12_run_omega_0.00100.pt,samples_X_bohr,1.2531328320575241e-06,5.559217333846023e-05,0.9999998089683486,0.9999999999997873,0.9999998088814198,1.7917517353564284e-07,4.4793466476098366e-08,"00,01,02,11,12,22","0.000426,0.037967,0.064432,0.108606,0.441342,0.347228","0.000000,0.036842,0.063158,0.110526,0.442105,0.347368"
6,0.01,2,"(1, 5)",../results/tables/6/omega_0.01000/20251231_002529/gr_N6_run_omega_0.01000.pt,samples_X_bohr,4.444444444473561e-06,2.4819823494215314e-05,0.9999999802269904,0.9999999999993844,0.9999999800057146,2.5601623299708926e-08,6.4002679706166095e-09,"00,01,11","0.000238,0.333521,0.666241","0.000000,0.333333,0.666667"
12,0.01,2,"(1, 11)",../results/tables/12/omega_0.01000/20251230_201654/gr_N12_run_omega_0.01000.pt,samples_X_bohr,7.2150072150112265e-06,4.067186264686501e-05,0.9999999188145244,0.9999999999995693,0.999999918440177,9.397010515007449e-08,2.3491840121571156e-08,"00,01,11","0.000369,0.167128,0.832503","0.000000,0.166667,0.833333"
20,0.01,2,"(1, 19)",../results/tables/20/omega_0.01000/20251231_002549/gr_N20_run_omega_0.01000.pt,samples_X_bohr,1.9629493314132773e-06,4.8865045441387815e-05,0.9999998674304248,0.99999999999999,0.9999998673574303,1.5318144454723633e-07,3.82938059627423e-08,"00,01,11","0.000432,0.100670,0.898898","0.000000,0.100000,0.900000"
