N,omega,occ,frames_used,pair_rmax,r_star,r_shell0_mean,r_shell0_std,r_shell1_mean,r_shell1_std,r_shell2_mean,r_shell2_std,gap01_mean,gap12_mean,Phi_shell0_reg,Lind_shell0_reg,P_shell0_lab,KL_shell0_lab,Peak_shell0_lab,Phi_shell1_reg,Lind_shell1_reg,P_shell1_lab,KL_shell1_lab,Peak_shell1_lab,Phi_shell2_reg,Lind_shell2_reg,P_shell2_lab,KL_shell2_lab,Peak_shell2_lab,C_global,Count_global_KL,Count_global_Peak,C_global_null,Count_global_KL_null,Count_global_Peak_null,pt
2,0.001,2,12000,217.81262973722144,19.482274276981205,67.05470348747828,19.28437018016497,nan,nan,nan,nan,nan,nan,0.8757588369292756,0.1319140392228387,0.010321554425582514,0.0036609984763481974,1.2824999999999904,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.010321554425572192,0.0036609984763445362,1.282499999998708,0.010566580703670338,0.0032296136088333827,1.169999999998821,../results/tables/2/omega_0.00100/20251218_161124/gr_N2_run_omega_0.00100.pt
2,0.01,2,12000,59.971725978818064,23.636484631213758,14.588437208315678,5.624668219623476,nan,nan,nan,nan,nan,nan,0.7544720486903943,0.20719167969951688,0.0055758578390044215,0.003513050805324237,1.3049999999999902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.005575857838998845,0.003513050805320724,1.304999999998685,0.008495413193213668,0.003162180942644487,1.2149999999987757,../results/tables/2/omega_0.01000/20251029_231316/gr_N2_run_omega_0.01000.pt
2,0.1,2,12000,17.813065514787663,4.94668126921088,3.8270828826813266,1.7389630203661397,nan,nan,nan,nan,nan,nan,0.6659375008663985,0.29839311548920666,0.006345524909224227,0.0036810814645147514,1.2149999999999908,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.006345524909217881,0.00368108146451107,1.2149999999987757,0.011267171261909232,0.0031714668064271702,1.2224999999987682,../results/tables/2/omega_0.10000/20251029_231312/gr_N2_run_omega_0.10000.pt
2,0.5,2,12000,6.9287214354468745,1.6220097107486076,1.5022221539512655,0.7353663986645497,nan,nan,nan,nan,nan,nan,0.6315090760350645,0.3713130520976972,0.002103145846905831,0.003599399965947359,1.2524999999999906,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0021031458469037275,0.0035993999659437595,1.252499999998738,0.003453627776536681,0.0029342071302253764,1.2224999999987682,../results/tables/2/omega_0.50000/20251029_231249/gr_N2_run_omega_0.50000.pt
2,1.0,2,12000,4.915466514806424,0.8831274696155953,1.0188509192163144,0.5061741785933059,nan,nan,nan,nan,nan,nan,0.6320638110824296,0.3977362949177874,0.006640242887868505,0.003035501131256442,1.2224999999999908,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.006640242887861864,0.003035501131253406,1.2224999999987682,0.007855551324478858,0.003422224223149215,1.2074999999987832,../results/tables/2/omega_1.00000/20251029_231309/gr_N2_run_omega_1.00000.pt
6,0.001,1 5,12000,365.0176709194721,32.12473838089458,35.42300651495374,22.202045026907513,135.72092837206495,20.188840217943802,nan,nan,100.29792185711123,nan,nan,nan,nan,nan,nan,0.6520462506912033,0.20546460826423965,0.004806436613783648,0.0013998582560001403,1.1639999999999966,nan,nan,nan,nan,nan,0.004806436613777881,0.0013998582559984604,1.1639999999985997,0.007869209906067499,0.001236895046158622,1.112999999998661,../results/tables/6/omega_0.00100/20251230_143725/gr_N6_run_omega_0.00100.pt
6,0.01,1 5,12000,94.6179426672356,16.59956073414539,13.332093990182385,5.569411486727042,29.637056469874352,6.450836662471613,nan,nan,16.304962479691966,nan,nan,nan,nan,nan,nan,0.4339657393908739,0.3430985721895704,0.0021923907777243496,0.0013799366601951854,1.1369999999999967,nan,nan,nan,nan,nan,0.002192390777721719,0.0013799366601935296,1.1369999999986322,0.0028786295815452214,0.0012173368348775506,1.12199999999865,../results/tables/6/omega_0.01000/20251231_002529/gr_N6_run_omega_0.01000.pt
6,0.1,1 5,12000,24.101539618872362,6.006701152237064,2.9480572369203557,1.2201244587325994,6.79942557717009,1.8766890826398084,nan,nan,3.8513683402497336,nan,nan,nan,nan,nan,nan,0.40092001595249455,0.4461781261485798,0.002920248871393753,0.0015304840898474616,1.1459999999999966,nan,nan,nan,nan,nan,0.002920248871390249,0.001530484089845625,1.1459999999986215,0.003186054426716397,0.0015927696976517302,1.1699999999985924,../results/tables/6/omega_0.10000/20251030_093416/gr_N6_run_omega_0.10000.pt
6,0.5,1 5,12000,10.214516730779314,1.931221816327768,1.0681168371370497,0.4549382538211759,2.515000519616561,0.7782641593275876,nan,nan,1.4468836824795108,nan,nan,nan,nan,nan,nan,0.39861710994648397,0.5133593433084905,0.005027788331976239,0.0014416462115742414,1.1849999999999965,nan,nan,nan,nan,nan,0.005027788331970207,0.0014416462115725115,1.1849999999985745,0.0019401433902231193,0.0014271330858572524,1.1249999999986466,../results/tables/6/omega_0.50000/20251030_093432/gr_N6_run_omega_0.50000.pt
6,1.0,1 5,12000,6.402811756397288,1.375815272850509,0.7058678697784744,0.3023046861333968,1.667059908455389,0.5317578364681392,nan,nan,0.9611920386769149,nan,nan,nan,nan,nan,nan,0.3922117712619121,0.5397030666649403,0.0020848970436538068,0.0013275598204009332,1.1219999999999966,nan,nan,nan,nan,nan,0.002084897043651305,0.0013275598203993403,1.12199999999865,0.0064514743497365605,0.0014240297695838323,1.1939999999985635,../results/tables/6/omega_1.00000/20251030_093439/gr_N6_run_omega_1.00000.pt
