C_global,C_global_se,Ctilde_global,Ctilde_global_se,Lind_shell0_reg,Lind_shell0_reg_se,Lind_shell1_reg,Lind_shell1_reg_se,Lind_shell2_reg,Lind_shell2_reg_se,N,P_shell0_lab,P_shell0_lab_se,P_shell1_lab,P_shell1_lab_se,P_shell2_lab,P_shell2_lab_se,Phi_shell0_reg,Phi_shell0_reg_se,Phi_shell1_reg,Phi_shell1_reg_se,Phi_shell2_reg,Phi_shell2_reg_se,Pin_shell0,Pin_shell0_se,Pin_shell1,Pin_shell1_se,Pin_shell2,Pin_shell2_se,VCI_global,VCI_global_se,VCI_shell0,VCI_shell0_se,VCI_shell1,VCI_shell1_se,VCI_shell2,VCI_shell2_se,bounds,frames_used,gap01_mean,gap01_se,gap12_mean,gap12_se,occ,omega,pair_rmax,phaseH_shell0,phaseH_shell1,phaseH_shell2,phaseNeff_shell0,phaseNeff_shell1,phaseNeff_shell2,phaseR_shell0,phaseR_shell1,phaseR_shell2,phaseRayleighP_shell0,phaseRayleighP_shell1,phaseRayleighP_shell2,pt,r_shell0_intra_std_mean,r_shell0_intra_std_se,r_shell0_mean,r_shell0_mean_se,r_shell0_std,r_shell1_intra_std_mean,r_shell1_intra_std_se,r_shell1_mean,r_shell1_mean_se,r_shell1_std,r_shell2_intra_std_mean,r_shell2_intra_std_se,r_shell2_mean,r_shell2_mean_se,r_shell2_std,r_star,radLind_shell0,radLind_shell0_se,radLind_shell1,radLind_shell1_se,radLind_shell2,radLind_shell2_se,shell0_n,shell1_n,shell2_n
0.0065895861699219165,0.004109969742023139,0.8745657587516077,0.0011817610835061683,0.13250690010774918,0.0007123052858002408,,,,,2,0.0065895861699219165,0.004109969742023139,,,,,0.8745657587516077,0.0011817610835061683,,,,,0.007534694908851876,0.0046669497296196755,,,,,0.05686266075747731,0.0359594304335165,0.05686266075747731,0.0359594304335165,,,,,,12000,nan,nan,nan,nan,2,0.001,193.108231651518,4.092420675642429,,,59.88467777423149,,,0.007537328605505607,,,0.5057478031803546,,,../results/tables/2/omega_0.00100/20251218_161124/gr_N2_run_omega_0.00100.pt,12.258067657886503,0.06298983720206133,66.9911463864798,0.08771543777186212,11.81757929569163,,,,,,,,,,,129.86528578564617,0.18298041336937676,0.0009509075288745473,,,,,2,,
0.0065769361443586425,0.0034484766050871863,0.7575908301561658,0.002385677071038534,0.20462026795667385,0.0014401663987042203,,,,,2,0.0065769361443586425,0.0034484766050871863,,,,,0.7575908301561658,0.002385677071038534,,,,,0.008681382987440473,0.0045413285057881135,,,,,0.04242679903673405,0.02260857938385526,0.04242679903673405,0.02260857938385526,,,,,,12000,nan,nan,nan,nan,2,0.01,48.36903035269525,4.091643911971584,,,59.838179593482934,,,0.007089075373981873,,,0.547144510091827,,,../results/tables/2/omega_0.01000/20251029_231316/gr_N2_run_omega_0.01000.pt,3.506684826814483,0.0260464522338086,14.654071165494354,0.034232509246874314,3.5618286614611274,,,,,,,,,,,25.998353814573814,0.23929765231873604,0.001761642099357863,,,,,2,,
0.003198650015123235,0.002582411597388506,0.6667849900122967,0.003008511971091565,0.29962715108048504,0.0017423385865307011,,,,,2,0.003198650015123235,0.002582411597388506,,,,,0.6667849900122967,0.003008511971091565,,,,,0.004797123605113316,0.0039110909326714235,,,,,0.016010310106458696,0.012921504395108132,0.016010310106458696,0.012921504395108132,,,,,,12000,nan,nan,nan,nan,2,0.1,13.315587891886771,4.092138732231131,,,59.8677960638507,,,0.0074040887505536545,,,0.5179751722073805,,,../results/tables/2/omega_0.10000/20251029_231312/gr_N2_run_omega_0.10000.pt,1.073511355720327,0.00857699859430825,3.858538315267507,0.01196362002053548,1.1187452505603532,,,,,,,,,,,6.358193218375961,0.27821710399314825,0.0021726148386306703,,,,,2,,
0.0075540581774152194,0.003727811714584856,0.6346882580264798,0.002021844732805529,0.3707780512814714,0.0019451144542586112,,,,,2,0.0075540581774152194,0.003727811714584856,,,,,0.6346882580264798,0.002021844732805529,,,,,0.011901997684507434,0.005864806757281823,,,,,0.03210005997758531,0.015951998841955844,0.03210005997758531,0.015951998841955844,,,,,,12000,nan,nan,nan,nan,2,0.5,5.467224865666291,4.092140068310715,,,59.86787605204419,,,0.012513063553333054,,,0.1527555460369773,,,../results/tables/2/omega_0.50000/20251029_231249/gr_N2_run_omega_0.50000.pt,0.4449555876730479,0.0027459368844463647,1.5150666280815197,0.005090803565762746,0.49163533177017854,,,,,,,,,,,2.3645747544006728,0.2936871418232483,0.0017866209955245721,,,,,2,,
0.0033892561787871485,0.002018260054609509,0.6283147624031221,0.002798731519566795,0.40037615452342423,0.002225133889532559,,,,,2,0.0033892561787871485,0.002018260054609509,,,,,0.6283147624031221,0.002798731519566795,,,,,0.0053942010940889315,0.0032512803431704643,,,,,0.01347283306746816,0.007928744124341164,0.01347283306746816,0.007928744124341164,,,,,,12000,nan,nan,nan,nan,2,1.0,3.664174964584915,4.092203529717779,,,59.87167547225336,,,0.007936620096802934,,,0.4696067341016366,,,../results/tables/2/omega_1.00000/20251029_231309/gr_N2_run_omega_1.00000.pt,0.30069358613354774,0.0017944143331597197,1.0149349300453225,0.0029611689811007646,0.33797682178977334,,,,,,,,,,,1.6213974218288283,0.29626883185518116,0.0016424319176977533,,,,,2,,
0.009538156508334351,0.003306538578092188,0.6520250941040315,0.001953761968967044,nan,nan,0.20490373993944383,0.0007970704777430597,,,6,nan,nan,0.009538156508334351,0.003306538578092188,,,nan,nan,0.6520250941040315,0.001953761968967044,,,nan,nan,0.01462851137875458,0.005076312147895681,,,0.059493429219812405,0.02064709197104804,nan,nan,0.07139211506377488,0.02477651036525765,,,1,12000,100.12647750488033,0.23122316997759615,nan,nan,1 5,0.001,318.10202991529434,nan,4.09174366060616,,nan,59.844148667891474,,nan,0.014436629974385573,,nan,0.08200118946390626,,../results/tables/6/omega_0.00100/20251230_143725/gr_N6_run_omega_0.00100.pt,0.0,0.0,35.560971144211074,0.20816562691773352,22.27777653348022,17.578550335407325,0.048012387806716544,135.6874486490914,0.06259122356175532,7.545980284731029,,,,,,120.16787752346778,0.0,0.0,0.12955177881535793,0.000362077534023339,,,1,5,
0.004112840689997672,0.0021764155784307513,0.43397903971657026,0.0017168682748341,nan,nan,0.34428497893904547,0.0010811832861612075,,,6,nan,nan,0.004112840689997672,0.0021764155784307513,,,nan,nan,0.43397903971657026,0.0017168682748341,,,nan,nan,0.009477049151230321,0.0051034380844864604,,,0.022938964644045174,0.012221781767451808,nan,nan,0.027526757572854207,0.014666138120942172,,,1,12000,16.300506658001396,0.049423290933787646,nan,nan,1 5,0.01,75.52001253343455,nan,4.0909868248494154,,nan,59.79887361139962,,nan,0.00628976412346924,,nan,0.6220601372181167,,../results/tables/6/omega_0.01000/20251231_002529/gr_N6_run_omega_0.01000.pt,0.0,0.0,13.348024591095673,0.04746454703069336,5.5644597225865065,5.683775898298426,0.020907245426501207,29.64853124909707,0.02640928579869855,2.351024503023351,,,,,,24.56845107707064,0.0,0.0,0.19170514217197596,0.000652639837106615,,,1,5,
0.004535174406596693,0.0017125001376386113,0.4023910633353058,0.0018986424880428395,nan,nan,0.44412983091051567,0.0013574655039402946,,,6,nan,nan,0.004535174406596693,0.0017125001376386113,,,nan,nan,0.4023910633353058,0.0018986424880428395,,,nan,nan,0.011270564433031675,0.004254351006359191,,,0.021147278056669758,0.008060543365582831,nan,nan,0.025376733668003706,0.009672652038699398,,,1,12000,3.8280295775633784,0.010358949784582946,nan,nan,1 5,0.1,18.632274048754024,nan,4.092470055735996,,nan,59.88763495823563,,nan,0.009370740303600822,,nan,0.34864240414547926,,../results/tables/6/omega_0.10000/20251030_093416/gr_N6_run_omega_0.10000.pt,0.0,0.0,2.9780204377783472,0.009806344912989977,1.2102015389001388,1.6343999434190386,0.004692857016071119,6.806050015341726,0.006232718190523326,0.727330716922488,,,,,,5.210818437035073,0.0,0.0,0.24013927898485724,0.0007151057393219467,,,1,5,
0.002455550028237458,0.0013953696501623363,0.3637492682720129,0.0012869807464357624,0.5330298599483616,0.00157099867856841,,,,,6,0.002455550028237458,0.0013953696501623363,,,,,0.3637492682720129,0.0012869807464357624,,,,,0.006750666578389346,0.0038471094291719424,,,,,0.012664706211849616,0.007233458241703341,0.012664706211849616,0.007233458241703341,,,,,,12000,nan,nan,nan,nan,6,0.5,7.124792269971114,4.092243088059681,,,59.87404394330806,,,0.006995155734211939,,,0.5558987188495412,,,../results/tables/6/omega_0.50000/20251030_093432/gr_N6_run_omega_0.50000.pt,0.8308102435029187,0.002229680337737567,2.2737552873086586,0.0031096550448208105,0.2943202687297912,,,,,,,,,,,1.7719376131311286,0.3653912310353816,0.0009767336640574133,,,,,6,,
0.00420392366139465,0.001790800096531923,0.3656450519071759,0.0013079351930276916,0.5607013708100163,0.0010635545076189737,,,,,6,0.00420392366139465,0.001790800096531923,,,,,0.3656450519071759,0.0013079351930276916,,,,,0.011497280325461302,0.004861912750179937,,,,,0.02050517605985478,0.008732368745866375,0.02050517605985478,0.008732368745866375,,,,,,12000,nan,nan,nan,nan,6,1.0,4.770373186804822,4.092243073999716,,,59.874043101481114,,,0.012649093923455545,,,0.14660817542194077,,,../results/tables/6/omega_1.00000/20251030_093439/gr_N6_run_omega_1.00000.pt,0.557850502996152,0.0013848300564548216,1.4996328507717256,0.002291425578268291,0.2051852419419364,,,,,,,,,,,1.1011082962792496,0.37199138623102096,0.0009913882567950548,,,,,6,,
