N,omega,occ,frames_used,pair_rmax,r_shell0_mean,r_shell0_std,r_shell1_mean,r_shell1_std,r_shell2_mean,r_shell2_std,gap01_mean,gap12_mean,P_shell0_lab,P_shell1_lab,P_shell2_lab,C_global,Phi_shell0_reg,Lind_shell0_reg,Phi_shell1_reg,Lind_shell1_reg,Phi_shell2_reg,Lind_shell2_reg,pt
2,0.001,2,12000,217.81262973722144,67.05470348747828,11.926124760450374,,,,,nan,nan,0.010321554425582517,,,0.010321554425582517,nan,nan,,,,,../results/tables/2/omega_0.00100/20251218_161124/gr_N2_run_omega_0.00100.pt
2,0.01,2,12000,59.971725978818064,14.588437208315678,3.5003664947224054,,,,,nan,nan,0.00557585783900442,,,0.00557585783900442,nan,nan,,,,,../results/tables/2/omega_0.01000/20251029_231316/gr_N2_run_omega_0.01000.pt
2,0.1,2,12000,17.813065514787663,3.8270828826813266,1.1126934035418836,,,,,nan,nan,0.006345524909224197,,,0.006345524909224197,nan,nan,,,,,../results/tables/2/omega_0.10000/20251029_231312/gr_N2_run_omega_0.10000.pt
2,0.5,2,12000,6.9287214354468745,1.5022221539512655,0.481816299906281,,,,,nan,nan,0.002103145846905845,,,0.002103145846905845,nan,nan,,,,,../results/tables/2/omega_0.50000/20251029_231249/gr_N2_run_omega_0.50000.pt
2,1.0,2,12000,4.915466514806424,1.0188509192163144,0.33934511971935144,,,,,nan,nan,0.006640242887868523,,,0.006640242887868523,nan,nan,,,,,../results/tables/2/omega_1.00000/20251029_231309/gr_N2_run_omega_1.00000.pt
6,0.001,1 5,12000,365.0176709194721,35.42300651495374,22.202045026907513,135.72092837206495,7.5095837298122055,,,100.29792185711123,nan,nan,0.004806436613783567,,0.004005363844819639,nan,nan,0.6520462506912033,0.20546460826423965,,,../results/tables/6/omega_0.00100/20251230_143725/gr_N6_run_omega_0.00100.pt
6,0.01,1 5,12000,94.6179426672356,13.332093990182385,5.569411486727042,29.63705646987435,2.33249735727923,,,16.304962479691966,nan,nan,0.002192390777724372,,0.0018269923147703102,nan,nan,0.43396573939087396,0.3430985721895704,,,../results/tables/6/omega_0.01000/20251231_002529/gr_N6_run_omega_0.01000.pt
6,0.1,1 5,12000,24.101539618872362,2.9480572369203557,1.2201244587325994,6.79942557717009,0.7169469021062608,,,3.8513683402497336,nan,nan,0.0029202488713937916,,0.002433540726161493,nan,nan,0.40092001595249455,0.4461781261485798,,,../results/tables/6/omega_0.10000/20251030_093416/gr_N6_run_omega_0.10000.pt
6,0.5,1 5,12000,10.214516730779314,1.0681168371370497,0.4549382538211759,2.515000519616561,0.315339469009193,,,1.4468836824795108,nan,nan,0.005027788331976294,,0.004189823609980245,nan,nan,0.398617109946484,0.5133593433084905,,,../results/tables/6/omega_0.50000/20251030_093432/gr_N6_run_omega_0.50000.pt
6,1.0,1 5,12000,6.402811756397288,0.7058678697784744,0.3023046861333968,1.6670599084553894,0.2216685889503027,,,0.9611920386769149,nan,nan,0.0020848970436537486,,0.0017374142030447907,nan,nan,0.3922117712619121,0.5397030666649403,,,../results/tables/6/omega_1.00000/20251030_093439/gr_N6_run_omega_1.00000.pt
12,0.001,3 9,12000,505.4317403861407,77.02338718234577,8.229508566295769,189.42991476260187,5.724603616630902,,,112.40652758025611,nan,0.01027522538412281,0.004282852577924957,,0.00578094577947442,0.6077348920849901,0.27281552259295727,0.4663219097133873,0.25329740312186105,,,../results/tables/12/omega_0.00100/20260105_112435/gr_N12_run_omega_0.00100.pt
12,0.01,1 11,12000,122.11918318701791,10.322157406017125,4.237056713902087,37.6608857107692,1.6303685134156956,,,27.338728304752077,nan,nan,0.0027075348485742384,,0.002481906944526385,nan,nan,0.2734582879651941,0.4487297941321708,,,../results/tables/12/omega_0.01000/20251230_201654/gr_N12_run_omega_0.01000.pt
12,0.1,1 11,12000,30.336454243377275,2.3168431023407843,1.0461199854467218,8.474139727039981,0.4954694675592008,,,6.157296624699198,nan,nan,0.002943744523939352,,0.002698432480277739,nan,nan,0.2696493072699698,0.5365637206473909,,,../results/tables/12/omega_0.10000/20251104_173835/gr_N12_run_omega_0.10000.pt
12,0.5,1 11,12000,12.227647139209454,0.849724632055618,0.3980794777250292,3.0753023698907787,0.21821358106152547,,,2.225577737835161,nan,nan,0.003697951859867267,,0.0033897892048783277,nan,nan,0.26729113609302607,0.5963484357367604,,,../results/tables/12/omega_0.50000/20251104_152827/gr_N12_run_omega_0.50000.pt
12,1.0,1 11,12000,7.728658123819887,0.5552996367378314,0.2651272121334302,2.0015018560171316,0.15314463990570537,,,1.4462022192793003,nan,nan,0.002896413369330381,,0.0026550455885528492,nan,nan,0.2665890142096638,0.6192839009748606,,,../results/tables/12/omega_1.00000/20251104_194000/gr_N12_run_omega_1.00000.pt
20,0.0001,1 7 12,12000,3853.107023015185,583.2148492398828,76.76342444156904,1069.1761197590056,48.006323646251595,1790.9963342638487,26.615449482776153,485.96127051912254,721.8202145048431,nan,0.34938335164528656,0.20321455003314917,0.2442129030957398,nan,nan,0.408759733806478,1.6171521031297829,0.24974577105441714,2.806422426217103,../results/tables/20/omega_0.00010/20260107_000106/gr_N12_run_omega_0.00010.pt
20,0.001,1 7 12,12000,610.7381333396955,38.03883820813981,18.525904148899226,132.04182037505868,5.575712730648415,247.2347188283791,4.671267119063486,94.00298216691888,115.19289845332041,nan,0.019162709920902406,0.044416501457724376,0.03335684934695047,nan,nan,0.40703195489116006,0.3503331203311449,0.38408894923381326,0.26932564714593005,../results/tables/20/omega_0.00100/20260107_113934/gr_N20_run_omega_0.00100.pt
20,0.01,1 19,12000,147.21509206538803,10.431547231281584,4.98447501971883,44.73060952229175,2.079908847798926,,,34.299062291010166,nan,nan,0.002335640951109443,,0.0022188589035539706,nan,nan,0.2040145919808171,0.5717921707414989,,,../results/tables/20/omega_0.01000/20251231_002549/gr_N20_run_omega_0.01000.pt
20,0.1,1 19,12000,35.777233158262845,2.3625858086979443,0.9861541779843668,9.928566382100401,0.3788488971208954,,,7.565980573402456,nan,nan,0.002724863036774964,,0.0025886198849362154,nan,nan,0.20328725711234202,0.6271287691316417,,,../results/tables/20/omega_0.10000/20251228_113215/gr_N12_run_omega_0.10000.pt
