N=6 omega=0.001 frames=30000
Top Cartesian PCA evals (body frame):
  PC1: eval=1.104470e+04
  PC2: eval=1.073075e+04
  PC3: eval=1.032855e+04
  PC4: eval=9.993589e+03
  PC5: eval=9.920948e+03
  PC6: eval=9.295053e+03
  PC7: eval=9.155686e+03
  PC8: eval=8.642070e+03
  PC9: eval=8.054121e+03
  PC10: eval=7.642187e+03
