r,delta_sr,delta_plain,residual
1.250492,0.0020359054,-0.19372036,0.0020359054
1.8423851,0.00098291303,-0.20449635,0.00098291303
2.1825702,-0.0055059198,-0.16763554,-0.0055059198
2.412774,0.012328215,-0.15737602,0.012328215
2.5879526,-0.0056908997,-0.12846215,-0.0056908997
2.7569659,-0.008505724,-0.12831095,-0.008505724
2.8834101,-0.011124451,-0.15127295,-0.011124451
3.0124389,0.00024921325,-0.099187978,0.00024921325
3.1413396,-0.010211281,-0.16325814,-0.010211281
3.2585622,-0.0081573751,-0.094241878,-0.0081573751
3.3708018,-0.016266993,-0.098487196,-0.016266993
3.4744022,0.0037863922,-0.095198947,0.0037863922
3.577151,0.011547046,-0.043531094,0.011547046
3.6902077,0.0014569264,0.005559182,0.0014569264
3.7846319,0.0020016119,0.02425827,0.0020016119
3.8688252,-0.0028989767,-0.032300957,-0.0028989767
3.949133,0.0048878491,-0.0092643353,0.0048878491
4.0545659,-0.004947427,0.028363558,-0.004947427
4.1521303,0.0021692596,0.010375882,0.0021692596
4.2412932,9.0489415e-05,0.052455026,9.0489415e-05
4.3154076,0.0041584168,0.10012333,0.0041584168
4.4015277,-0.00084920023,0.010489774,-0.00084920023
4.4980696,0.0044288278,0.073999304,0.0044288278
4.6411778,0.016244981,0.055968015,0.016244981
4.7707618,0.0039057964,0.10153603,0.0039057964
4.8896029,0.0042810524,0.18102678,0.0042810524
5.0594569,-0.0030467281,0.18665374,-0.0030467281
5.2459008,-0.0071835714,0.21716309,-0.0071835714
5.5342886,0.0031992957,0.30281829,0.0031992957
6.1000987,0.0063426646,0.41327493,0.0063426646
