r,J_total,u_cusp,f_net
1.250492,25.104807,6.3822567,18.72255
1.8423851,25.301826,6.666523,18.635303
2.1825702,25.625679,6.6672962,18.958383
2.412774,25.665704,6.6681452,18.997559
2.5879526,25.960312,6.6613897,19.298922
2.7569659,26.053769,6.6907575,19.363011
2.8834101,25.916653,6.8019436,19.114709
3.0124389,26.107649,6.6557544,19.451894
3.1413396,25.768235,6.9364837,18.831751
3.2585622,26.230882,6.6574601,19.573422
3.3708018,26.274597,6.6394907,19.635106
3.4744022,26.208055,6.7685918,19.439463
3.577151,26.65313,6.4964158,20.156714
3.6902077,26.998398,6.3291828,20.669215
3.7846319,26.931895,6.2911635,20.640731
3.8688252,26.732723,6.4356584,20.297065
3.949133,26.93314,6.4182349,20.514906
4.0545659,27.17333,6.2024356,20.970894
4.1521303,27.067322,6.3267628,20.74056
4.2412932,27.285037,6.1964631,21.088574
4.3154076,27.600256,6.0389574,21.561299
4.4015277,26.900375,6.4436525,20.456722
4.4980696,27.506116,6.1009722,21.405143
4.6411778,27.329371,6.2454643,21.083907
4.7707618,27.601448,6.0961033,21.505345
4.8896029,28.13201,5.8545424,22.277467
5.0594569,28.415319,5.6476996,22.767619
5.2459008,28.343588,5.6743931,22.669194
5.5342886,28.974988,5.3740714,23.600916
6.1000987,29.668726,4.9999724,24.668754
